#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D+02   0.1000D+02
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.5000D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.1000D+01
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.1000D+02  0.1000D+02  0.6126D-03  0.4332D-03  0.5217D-01  0.5854D-03
# ab  =  0.1362D-04  0.5000D-01  0.7500D-01
# etab=  0.1999D+02  0.1999D+02  0.1999D+02
    0.10000D+26
    0.10000D+02
    0.10000D+02
      1001
#
#  iu  ep[keV]     a_tot       a_i         a_e         ac_tot      ac_i        ac_e        aq_tot      aq_i        aq_e
    0  0.1000E-06 -0.2617E+04 -0.2587E+04 -0.2960E+02 -0.2630E+04 -0.2589E+04 -0.4176E+02  0.1375E+02  0.1588E+01  0.1216E+02
    1  0.3500E+01 -0.2778E+00 -0.2738E+00 -0.3926E-02 -0.2795E+00 -0.2740E+00 -0.5502E-02  0.1767E-02  0.1907E-03  0.1576E-02
    2  0.7000E+01 -0.1015E+00 -0.9949E-01 -0.1988E-02 -0.1023E+00 -0.9957E-01 -0.2763E-02  0.8600E-03  0.8460E-04  0.7754E-03
    3  0.1050E+02 -0.2099E-01 -0.2004E-01 -0.9586E-03 -0.2138E-01 -0.2007E-01 -0.1315E-02  0.3875E-03  0.3144E-04  0.3561E-03
    4  0.1400E+02  0.2734E-01  0.2758E-01 -0.2384E-03  0.2728E-01  0.2758E-01 -0.3069E-03  0.6563E-04 -0.2835E-05  0.6847E-04
    5  0.1750E+02  0.5670E-01  0.5637E-01  0.3292E-03  0.5688E-01  0.5640E-01  0.4825E-03 -0.1808E-03 -0.2745E-04 -0.1533E-03
    6  0.2100E+02  0.7666E-01  0.7586E-01  0.8064E-03  0.7704E-01  0.7590E-01  0.1142E-02 -0.3820E-03 -0.4622E-04 -0.3358E-03
    7  0.2450E+02  0.8903E-01  0.8781E-01  0.1223E-02  0.8959E-01  0.8787E-01  0.1715E-02 -0.5533E-03 -0.6111E-04 -0.4922E-03
    8  0.2800E+02  0.9655E-01  0.9495E-01  0.1596E-02  0.9725E-01  0.9502E-01  0.2226E-02 -0.7033E-03 -0.7323E-04 -0.6300E-03
    9  0.3150E+02  0.1009E+00  0.9901E-01  0.1936E-02  0.1018E+00  0.9910E-01  0.2690E-02 -0.8372E-03 -0.8332E-04 -0.7539E-03
   10  0.3500E+02  0.1032E+00  0.1009E+00  0.2249E-02  0.1041E+00  0.1010E+00  0.3115E-02 -0.9587E-03 -0.9184E-04 -0.8669E-03
   11  0.3850E+02  0.1040E+00  0.1015E+00  0.2538E-02  0.1051E+00  0.1016E+00  0.3510E-02 -0.1070E-02 -0.9914E-04 -0.9711E-03
   12  0.4200E+02  0.1039E+00  0.1011E+00  0.2809E-02  0.1050E+00  0.1012E+00  0.3878E-02 -0.1174E-02 -0.1055E-03 -0.1068E-02
   13  0.4550E+02  0.1029E+00  0.9988E-01  0.3063E-02  0.1042E+00  0.1000E+00  0.4223E-02 -0.1270E-02 -0.1110E-03 -0.1159E-02
   14  0.4900E+02  0.1016E+00  0.9827E-01  0.3303E-02  0.1029E+00  0.9839E-01  0.4548E-02 -0.1361E-02 -0.1158E-03 -0.1245E-02
   15  0.5250E+02  0.9981E-01  0.9628E-01  0.3530E-02  0.1013E+00  0.9640E-01  0.4857E-02 -0.1447E-02 -0.1202E-03 -0.1327E-02
   16  0.5600E+02  0.9782E-01  0.9407E-01  0.3745E-02  0.9935E-01  0.9420E-01  0.5150E-02 -0.1529E-02 -0.1240E-03 -0.1405E-02
   17  0.5950E+02  0.9570E-01  0.9175E-01  0.3950E-02  0.9730E-01  0.9187E-01  0.5429E-02 -0.1607E-02 -0.1275E-03 -0.1479E-02
   18  0.6300E+02  0.9344E-01  0.8930E-01  0.4146E-02  0.9512E-01  0.8943E-01  0.5697E-02 -0.1681E-02 -0.1306E-03 -0.1550E-02
   19  0.6650E+02  0.9124E-01  0.8691E-01  0.4334E-02  0.9299E-01  0.8704E-01  0.5953E-02 -0.1752E-02 -0.1335E-03 -0.1619E-02
   20  0.7000E+02  0.8906E-01  0.8454E-01  0.4515E-02  0.9088E-01  0.8468E-01  0.6200E-02 -0.1821E-02 -0.1361E-03 -0.1685E-02
   21  0.7350E+02  0.8691E-01  0.8222E-01  0.4689E-02  0.8880E-01  0.8236E-01  0.6438E-02 -0.1888E-02 -0.1385E-03 -0.1749E-02
   22  0.7700E+02  0.8481E-01  0.7996E-01  0.4856E-02  0.8677E-01  0.8010E-01  0.6668E-02 -0.1952E-02 -0.1407E-03 -0.1811E-02
   23  0.8050E+02  0.8278E-01  0.7776E-01  0.5019E-02  0.8479E-01  0.7790E-01  0.6890E-02 -0.2014E-02 -0.1427E-03 -0.1871E-02
   24  0.8400E+02  0.8081E-01  0.7564E-01  0.5176E-02  0.8289E-01  0.7578E-01  0.7106E-02 -0.2074E-02 -0.1446E-03 -0.1930E-02
