#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.1000D+02   0.1000D+02
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.5000D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.1000D+01
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.1000D+02  0.1000D+02  0.6126D-03  0.4332D-03  0.5217D-01  0.5854D-03
# ab  =  0.1362D-04  0.5000D-01  0.7500D-01
# etab=  0.1999D+02  0.1999D+02  0.1999D+02
    0.10000D+26
    0.10000D+02
    0.10000D+02
      1001
#
#  iu  ep[keV]     a_tot       a_i         a_e         ac_tot      ac_i        ac_e        aq_tot      aq_i        aq_e
    0  0.1000E-06 -0.2617E+04 -0.2587E+04 -0.2960E+02 -0.2630E+04 -0.2589E+04 -0.4176E+02  0.1375E+02  0.1588E+01  0.1216E+02
    1  0.3500E+01 -0.2778E+00 -0.2738E+00 -0.3926E-02 -0.2795E+00 -0.2740E+00 -0.5502E-02  0.1767E-02  0.1907E-03  0.1576E-02
    2  0.7000E+01 -0.1015E+00 -0.9949E-01 -0.1988E-02 -0.1023E+00 -0.9957E-01 -0.2763E-02  0.8600E-03  0.8460E-04  0.7754E-03
    3  0.1050E+02 -0.2099E-01 -0.2004E-01 -0.9586E-03 -0.2138E-01 -0.2007E-01 -0.1315E-02  0.3875E-03  0.3144E-04  0.3561E-03
    4  0.1400E+02  0.2734E-01  0.2758E-01 -0.2384E-03  0.2728E-01  0.2758E-01 -0.3069E-03  0.6563E-04 -0.2835E-05  0.6847E-04
  145  0.5075E+03  0.3144E-01  0.1668E-01  0.1477E-01  0.3723E-01  0.1688E-01  0.2036E-01 -0.5789E-02 -0.2010E-03 -0.5588E-02
  146  0.5110E+03  0.3139E-01  0.1657E-01  0.1482E-01  0.3720E-01  0.1677E-01  0.2043E-01 -0.5809E-02 -0.2011E-03 -0.5608E-02
  147  0.5145E+03  0.3135E-01  0.1647E-01  0.1487E-01  0.3718E-01  0.1667E-01  0.2050E-01 -0.5830E-02 -0.2013E-03 -0.5628E-02
  148  0.5180E+03  0.3130E-01  0.1637E-01  0.1493E-01  0.3715E-01  0.1657E-01  0.2058E-01 -0.5850E-02 -0.2014E-03 -0.5648E-02
  149  0.5215E+03  0.3125E-01  0.1627E-01  0.1498E-01  0.3712E-01  0.1647E-01  0.2065E-01 -0.5870E-02 -0.2015E-03 -0.5669E-02
  150  0.5250E+03  0.3121E-01  0.1617E-01  0.1503E-01  0.3710E-01  0.1637E-01  0.2072E-01 -0.5890E-02 -0.2017E-03 -0.5688E-02
  151  0.5285E+03  0.3116E-01  0.1608E-01  0.1508E-01  0.3707E-01  0.1628E-01  0.2079E-01 -0.5910E-02 -0.2018E-03 -0.5708E-02
  152  0.5320E+03  0.3112E-01  0.1598E-01  0.1514E-01  0.3705E-01  0.1618E-01  0.2086E-01 -0.5930E-02 -0.2019E-03 -0.5728E-02
  153  0.5355E+03  0.3107E-01  0.1589E-01  0.1519E-01  0.3702E-01  0.1609E-01  0.2094E-01 -0.5950E-02 -0.2021E-03 -0.5748E-02
  154  0.5390E+03  0.3103E-01  0.1579E-01  0.1524E-01  0.3700E-01  0.1600E-01  0.2101E-01 -0.5970E-02 -0.2022E-03 -0.5768E-02
  155  0.5425E+03  0.3099E-01  0.1570E-01  0.1529E-01  0.3698E-01  0.1590E-01  0.2108E-01 -0.5990E-02 -0.2023E-03 -0.5787E-02
  156  0.5460E+03  0.3095E-01  0.1561E-01  0.1534E-01  0.3696E-01  0.1581E-01  0.2115E-01 -0.6009E-02 -0.2024E-03 -0.5807E-02
  157  0.5495E+03  0.3091E-01  0.1552E-01  0.1539E-01  0.3694E-01  0.1572E-01  0.2122E-01 -0.6029E-02 -0.2026E-03 -0.5826E-02
  158  0.5530E+03  0.3087E-01  0.1543E-01  0.1544E-01  0.3692E-01  0.1563E-01  0.2129E-01 -0.6048E-02 -0.2027E-03 -0.5846E-02
  159  0.5565E+03  0.3084E-01  0.1534E-01  0.1549E-01  0.3691E-01  0.1555E-01  0.2136E-01 -0.6068E-02 -0.2028E-03 -0.5865E-02
  160  0.5600E+03  0.3080E-01  0.1526E-01  0.1555E-01  0.3689E-01  0.1546E-01  0.2143E-01 -0.6087E-02 -0.2029E-03 -0.5884E-02
  161  0.5635E+03  0.3077E-01  0.1517E-01  0.1560E-01  0.3687E-01  0.1537E-01  0.2150E-01 -0.6107E-02 -0.2030E-03 -0.5904E-02
  162  0.5670E+03  0.3073E-01  0.1509E-01  0.1565E-01  0.3686E-01  0.1529E-01  0.2157E-01 -0.6126E-02 -0.2031E-03 -0.5923E-02
  163  0.5705E+03  0.3070E-01  0.1500E-01  0.1570E-01  0.3684E-01  0.1520E-01  0.2164E-01 -0.6145E-02 -0.2032E-03 -0.5942E-02
  164  0.5740E+03  0.3066E-01  0.1492E-01  0.1575E-01  0.3683E-01  0.1512E-01  0.2171E-01 -0.6164E-02 -0.2033E-03 -0.5961E-02
  165  0.5775E+03  0.3063E-01  0.1484E-01  0.1580E-01  0.3682E-01  0.1504E-01  0.2178E-01 -0.6183E-02 -0.2034E-03 -0.5980E-02
  166  0.5810E+03  0.3060E-01  0.1476E-01  0.1585E-01  0.3680E-01  0.1496E-01  0.2184E-01 -0.6202E-02 -0.2035E-03 -0.5999E-02
  167  0.5845E+03  0.3057E-01  0.1467E-01  0.1589E-01  0.3679E-01  0.1488E-01  0.2191E-01 -0.6221E-02 -0.2036E-03 -0.6018E-02
  168  0.5880E+03  0.3054E-01  0.1460E-01  0.1594E-01  0.3678E-01  0.1480E-01  0.2198E-01 -0.6240E-02 -0.2037E-03 -0.6037E-02
  169  0.5915E+03  0.3051E-01  0.1452E-01  0.1599E-01  0.3677E-01  0.1472E-01  0.2205E-01 -0.6259E-02 -0.2038E-03 -0.6055E-02
  170  0.5950E+03  0.3048E-01  0.1444E-01  0.1604E-01  0.3676E-01  0.1464E-01  0.2212E-01 -0.6278E-02 -0.2039E-03 -0.6074E-02
  171  0.5985E+03  0.3045E-01  0.1436E-01  0.1609E-01  0.3675E-01  0.1457E-01  0.2218E-01 -0.6297E-02 -0.2040E-03 -0.6093E-02
  172  0.6020E+03  0.3043E-01  0.1429E-01  0.1614E-01  0.3674E-01  0.1449E-01  0.2225E-01 -0.6315E-02 -0.2041E-03 -0.6111E-02
  173  0.6055E+03  0.3040E-01  0.1421E-01  0.1619E-01  0.3673E-01  0.1442E-01  0.2232E-01 -0.6334E-02 -0.2042E-03 -0.6130E-02
  174  0.6090E+03  0.3037E-01  0.1414E-01  0.1624E-01  0.3673E-01  0.1434E-01  0.2238E-01 -0.6352E-02 -0.2043E-03 -0.6148E-02
  175  0.6125E+03  0.3035E-01  0.1406E-01  0.1628E-01  0.3672E-01  0.1427E-01  0.2245E-01 -0.6371E-02 -0.2044E-03 -0.6166E-02
  176  0.6160E+03  0.3032E-01  0.1399E-01  0.1633E-01  0.3671E-01  0.1420E-01  0.2252E-01 -0.6389E-02 -0.2044E-03 -0.6185E-02
  177  0.6195E+03  0.3030E-01  0.1392E-01  0.1638E-01  0.3671E-01  0.1412E-01  0.2258E-01 -0.6408E-02 -0.2045E-03 -0.6203E-02
  178  0.6230E+03  0.3028E-01  0.1385E-01  0.1643E-01  0.3670E-01  0.1405E-01  0.2265E-01 -0.6426E-02 -0.2046E-03 -0.6221E-02
  179  0.6265E+03  0.3025E-01  0.1378E-01  0.1648E-01  0.3670E-01  0.1398E-01  0.2272E-01 -0.6444E-02 -0.2047E-03 -0.6239E-02
  180  0.6300E+03  0.3023E-01  0.1371E-01  0.1652E-01  0.3669E-01  0.1391E-01  0.2278E-01 -0.6462E-02 -0.2048E-03 -0.6258E-02
  181  0.6335E+03  0.3021E-01  0.1364E-01  0.1657E-01  0.3669E-01  0.1384E-01  0.2285E-01 -0.6480E-02 -0.2048E-03 -0.6276E-02
  182  0.6370E+03  0.3019E-01  0.1357E-01  0.1662E-01  0.3669E-01  0.1378E-01  0.2291E-01 -0.6499E-02 -0.2049E-03 -0.6294E-02
  183  0.6405E+03  0.3017E-01  0.1350E-01  0.1666E-01  0.3669E-01  0.1371E-01  0.2298E-01 -0.6517E-02 -0.2050E-03 -0.6312E-02
  184  0.6440E+03  0.3015E-01  0.1344E-01  0.1671E-01  0.3668E-01  0.1364E-01  0.2304E-01 -0.6535E-02 -0.2050E-03 -0.6329E-02
  185  0.6475E+03  0.3013E-01  0.1337E-01  0.1676E-01  0.3668E-01  0.1358E-01  0.2311E-01 -0.6552E-02 -0.2051E-03 -0.6347E-02
  186  0.6510E+03  0.3011E-01  0.1331E-01  0.1680E-01  0.3668E-01  0.1351E-01  0.2317E-01 -0.6570E-02 -0.2052E-03 -0.6365E-02
  187  0.6545E+03  0.3009E-01  0.1324E-01  0.1685E-01  0.3668E-01  0.1345E-01  0.2323E-01 -0.6588E-02 -0.2052E-03 -0.6383E-02
  188  0.6580E+03  0.3007E-01  0.1318E-01  0.1690E-01  0.3668E-01  0.1338E-01  0.2330E-01 -0.6606E-02 -0.2053E-03 -0.6401E-02
  189  0.6615E+03  0.3006E-01  0.1311E-01  0.1694E-01  0.3668E-01  0.1332E-01  0.2336E-01 -0.6624E-02 -0.2054E-03 -0.6418E-02
  190  0.6650E+03  0.3004E-01  0.1305E-01  0.1699E-01  0.3668E-01  0.1326E-01  0.2343E-01 -0.6641E-02 -0.2054E-03 -0.6436E-02
  191  0.6685E+03  0.3002E-01  0.1299E-01  0.1704E-01  0.3668E-01  0.1319E-01  0.2349E-01 -0.6659E-02 -0.2055E-03 -0.6453E-02
  192  0.6720E+03  0.3001E-01  0.1293E-01  0.1708E-01  0.3668E-01  0.1313E-01  0.2355E-01 -0.6676E-02 -0.2055E-03 -0.6471E-02
  193  0.6755E+03  0.2999E-01  0.1287E-01  0.1713E-01  0.3669E-01  0.1307E-01  0.2362E-01 -0.6694E-02 -0.2056E-03 -0.6488E-02
  194  0.6790E+03  0.2998E-01  0.1280E-01  0.1717E-01  0.3669E-01  0.1301E-01  0.2368E-01 -0.6711E-02 -0.2056E-03 -0.6506E-02
  195  0.6825E+03  0.2996E-01  0.1275E-01  0.1722E-01  0.3669E-01  0.1295E-01  0.2374E-01 -0.6729E-02 -0.2057E-03 -0.6523E-02
  196  0.6860E+03  0.2995E-01  0.1269E-01  0.1726E-01  0.3670E-01  0.1289E-01  0.2380E-01 -0.6746E-02 -0.2057E-03 -0.6540E-02
  197  0.6895E+03  0.2994E-01  0.1263E-01  0.1731E-01  0.3670E-01  0.1283E-01  0.2387E-01 -0.6763E-02 -0.2058E-03 -0.6558E-02
  198  0.6930E+03  0.2992E-01  0.1257E-01  0.1735E-01  0.3670E-01  0.1277E-01  0.2393E-01 -0.6781E-02 -0.2058E-03 -0.6575E-02
  199  0.6965E+03  0.2991E-01  0.1251E-01  0.1740E-01  0.3671E-01  0.1272E-01  0.2399E-01 -0.6798E-02 -0.2059E-03 -0.6592E-02
  200  0.7000E+03  0.2990E-01  0.1245E-01  0.1744E-01  0.3671E-01  0.1266E-01  0.2405E-01 -0.6815E-02 -0.2059E-03 -0.6609E-02
  201  0.7035E+03  0.2989E-01  0.1240E-01  0.1749E-01  0.3672E-01  0.1260E-01  0.2412E-01 -0.6832E-02 -0.2060E-03 -0.6626E-02
  202  0.7070E+03  0.2988E-01  0.1234E-01  0.1753E-01  0.3672E-01  0.1255E-01  0.2418E-01 -0.6849E-02 -0.2060E-03 -0.6643E-02
  203  0.7105E+03  0.2986E-01  0.1229E-01  0.1758E-01  0.3673E-01  0.1249E-01  0.2424E-01 -0.6866E-02 -0.2060E-03 -0.6660E-02
  204  0.7140E+03  0.2985E-01  0.1223E-01  0.1762E-01  0.3674E-01  0.1244E-01  0.2430E-01 -0.6883E-02 -0.2061E-03 -0.6677E-02
  205  0.7175E+03  0.2984E-01  0.1218E-01  0.1767E-01  0.3674E-01  0.1238E-01  0.2436E-01 -0.6900E-02 -0.2061E-03 -0.6694E-02
  206  0.7210E+03  0.2983E-01  0.1212E-01  0.1771E-01  0.3675E-01  0.1233E-01  0.2442E-01 -0.6917E-02 -0.2062E-03 -0.6711E-02
  207  0.7245E+03  0.2982E-01  0.1207E-01  0.1776E-01  0.3676E-01  0.1228E-01  0.2448E-01 -0.6934E-02 -0.2062E-03 -0.6728E-02
  208  0.7280E+03  0.2982E-01  0.1202E-01  0.1780E-01  0.3677E-01  0.1222E-01  0.2454E-01 -0.6951E-02 -0.2062E-03 -0.6744E-02
  209  0.7315E+03  0.2981E-01  0.1196E-01  0.1784E-01  0.3677E-01  0.1217E-01  0.2460E-01 -0.6967E-02 -0.2063E-03 -0.6761E-02
  210  0.7350E+03  0.2980E-01  0.1191E-01  0.1789E-01  0.3678E-01  0.1212E-01  0.2466E-01 -0.6984E-02 -0.2063E-03 -0.6778E-02
  211  0.7385E+03  0.2979E-01  0.1186E-01  0.1793E-01  0.3679E-01  0.1207E-01  0.2472E-01 -0.7001E-02 -0.2063E-03 -0.6794E-02
  212  0.7420E+03  0.2978E-01  0.1181E-01  0.1797E-01  0.3680E-01  0.1202E-01  0.2478E-01 -0.7017E-02 -0.2063E-03 -0.6811E-02
  213  0.7455E+03  0.2978E-01  0.1176E-01  0.1802E-01  0.3681E-01  0.1196E-01  0.2484E-01 -0.7034E-02 -0.2064E-03 -0.6827E-02
  214  0.7490E+03  0.2977E-01  0.1171E-01  0.1806E-01  0.3682E-01  0.1191E-01  0.2490E-01 -0.7050E-02 -0.2064E-03 -0.6844E-02
  215  0.7525E+03  0.2976E-01  0.1166E-01  0.1810E-01  0.3683E-01  0.1186E-01  0.2496E-01 -0.7067E-02 -0.2064E-03 -0.6860E-02
  216  0.7560E+03  0.2976E-01  0.1161E-01  0.1815E-01  0.3684E-01  0.1182E-01  0.2502E-01 -0.7083E-02 -0.2064E-03 -0.6877E-02
  217  0.7595E+03  0.2975E-01  0.1156E-01  0.1819E-01  0.3685E-01  0.1177E-01  0.2508E-01 -0.7100E-02 -0.2065E-03 -0.6893E-02
  218  0.7630E+03  0.2974E-01  0.1151E-01  0.1823E-01  0.3686E-01  0.1172E-01  0.2514E-01 -0.7116E-02 -0.2065E-03 -0.6910E-02
  219  0.7665E+03  0.2974E-01  0.1146E-01  0.1828E-01  0.3687E-01  0.1167E-01  0.2520E-01 -0.7132E-02 -0.2065E-03 -0.6926E-02
  220  0.7700E+03  0.2973E-01  0.1142E-01  0.1832E-01  0.3688E-01  0.1162E-01  0.2526E-01 -0.7149E-02 -0.2065E-03 -0.6942E-02
  221  0.7735E+03  0.2973E-01  0.1137E-01  0.1836E-01  0.3689E-01  0.1158E-01  0.2532E-01 -0.7165E-02 -0.2065E-03 -0.6958E-02
  222  0.7770E+03  0.2972E-01  0.1132E-01  0.1840E-01  0.3691E-01  0.1153E-01  0.2538E-01 -0.7181E-02 -0.2066E-03 -0.6975E-02
  223  0.7805E+03  0.2972E-01  0.1128E-01  0.1845E-01  0.3692E-01  0.1148E-01  0.2544E-01 -0.7197E-02 -0.2066E-03 -0.6991E-02
  224  0.7840E+03  0.2972E-01  0.1123E-01  0.1849E-01  0.3693E-01  0.1144E-01  0.2549E-01 -0.7213E-02 -0.2066E-03 -0.7007E-02
  225  0.7875E+03  0.2971E-01  0.1118E-01  0.1853E-01  0.3694E-01  0.1139E-01  0.2555E-01 -0.7229E-02 -0.2066E-03 -0.7023E-02
  226  0.7910E+03  0.2971E-01  0.1114E-01  0.1857E-01  0.3696E-01  0.1134E-01  0.2561E-01 -0.7246E-02 -0.2066E-03 -0.7039E-02
  227  0.7945E+03  0.2971E-01  0.1109E-01  0.1861E-01  0.3697E-01  0.1130E-01  0.2567E-01 -0.7262E-02 -0.2066E-03 -0.7055E-02
  228  0.7980E+03  0.2970E-01  0.1105E-01  0.1866E-01  0.3698E-01  0.1126E-01  0.2573E-01 -0.7277E-02 -0.2066E-03 -0.7071E-02
  229  0.8015E+03  0.2970E-01  0.1100E-01  0.1870E-01  0.3700E-01  0.1121E-01  0.2578E-01 -0.7293E-02 -0.2067E-03 -0.7087E-02
  230  0.8050E+03  0.2970E-01  0.1096E-01  0.1874E-01  0.3701E-01  0.1117E-01  0.2584E-01 -0.7309E-02 -0.2067E-03 -0.7103E-02
  231  0.8085E+03  0.2970E-01  0.1092E-01  0.1878E-01  0.3702E-01  0.1112E-01  0.2590E-01 -0.7325E-02 -0.2067E-03 -0.7118E-02
  232  0.8120E+03  0.2970E-01  0.1087E-01  0.1882E-01  0.3704E-01  0.1108E-01  0.2596E-01 -0.7341E-02 -0.2067E-03 -0.7134E-02
  233  0.8155E+03  0.2969E-01  0.1083E-01  0.1886E-01  0.3705E-01  0.1104E-01  0.2601E-01 -0.7357E-02 -0.2067E-03 -0.7150E-02
  234  0.8190E+03  0.2969E-01  0.1079E-01  0.1890E-01  0.3707E-01  0.1100E-01  0.2607E-01 -0.7372E-02 -0.2067E-03 -0.7166E-02
  235  0.8225E+03  0.2969E-01  0.1075E-01  0.1895E-01  0.3708E-01  0.1095E-01  0.2613E-01 -0.7388E-02 -0.2067E-03 -0.7181E-02
  236  0.8260E+03  0.2969E-01  0.1070E-01  0.1899E-01  0.3710E-01  0.1091E-01  0.2618E-01 -0.7404E-02 -0.2067E-03 -0.7197E-02
  237  0.8295E+03  0.2969E-01  0.1066E-01  0.1903E-01  0.3711E-01  0.1087E-01  0.2624E-01 -0.7419E-02 -0.2067E-03 -0.7213E-02
  238  0.8330E+03  0.2969E-01  0.1062E-01  0.1907E-01  0.3713E-01  0.1083E-01  0.2630E-01 -0.7435E-02 -0.2067E-03 -0.7228E-02
  239  0.8365E+03  0.2969E-01  0.1058E-01  0.1911E-01  0.3714E-01  0.1079E-01  0.2635E-01 -0.7451E-02 -0.2067E-03 -0.7244E-02
  240  0.8400E+03  0.2969E-01  0.1054E-01  0.1915E-01  0.3716E-01  0.1075E-01  0.2641E-01 -0.7466E-02 -0.2067E-03 -0.7259E-02
  241  0.8435E+03  0.2969E-01  0.1050E-01  0.1919E-01  0.3717E-01  0.1071E-01  0.2647E-01 -0.7482E-02 -0.2067E-03 -0.7275E-02
  242  0.8470E+03  0.2969E-01  0.1046E-01  0.1923E-01  0.3719E-01  0.1067E-01  0.2652E-01 -0.7497E-02 -0.2067E-03 -0.7290E-02
  243  0.8505E+03  0.2969E-01  0.1042E-01  0.1927E-01  0.3721E-01  0.1063E-01  0.2658E-01 -0.7512E-02 -0.2067E-03 -0.7306E-02
  244  0.8540E+03  0.2969E-01  0.1038E-01  0.1931E-01  0.3722E-01  0.1059E-01  0.2663E-01 -0.7528E-02 -0.2067E-03 -0.7321E-02
  245  0.8575E+03  0.2970E-01  0.1034E-01  0.1935E-01  0.3724E-01  0.1055E-01  0.2669E-01 -0.7543E-02 -0.2067E-03 -0.7337E-02
  246  0.8610E+03  0.2970E-01  0.1031E-01  0.1939E-01  0.3726E-01  0.1051E-01  0.2674E-01 -0.7559E-02 -0.2067E-03 -0.7352E-02
  247  0.8645E+03  0.2970E-01  0.1027E-01  0.1943E-01  0.3727E-01  0.1047E-01  0.2680E-01 -0.7574E-02 -0.2067E-03 -0.7367E-02
  248  0.8680E+03  0.2970E-01  0.1023E-01  0.1947E-01  0.3729E-01  0.1044E-01  0.2686E-01 -0.7589E-02 -0.2067E-03 -0.7382E-02
  249  0.8715E+03  0.2970E-01  0.1019E-01  0.1951E-01  0.3731E-01  0.1040E-01  0.2691E-01 -0.7604E-02 -0.2066E-03 -0.7398E-02
  250  0.8750E+03  0.2971E-01  0.1015E-01  0.1955E-01  0.3733E-01  0.1036E-01  0.2697E-01 -0.7619E-02 -0.2066E-03 -0.7413E-02
  251  0.8785E+03  0.2971E-01  0.1012E-01  0.1959E-01  0.3734E-01  0.1032E-01  0.2702E-01 -0.7635E-02 -0.2066E-03 -0.7428E-02
  252  0.8820E+03  0.2971E-01  0.1008E-01  0.1963E-01  0.3736E-01  0.1029E-01  0.2708E-01 -0.7650E-02 -0.2066E-03 -0.7443E-02
  253  0.8855E+03  0.2971E-01  0.1004E-01  0.1967E-01  0.3738E-01  0.1025E-01  0.2713E-01 -0.7665E-02 -0.2066E-03 -0.7458E-02
  254  0.8890E+03  0.2972E-01  0.1001E-01  0.1971E-01  0.3740E-01  0.1021E-01  0.2718E-01 -0.7680E-02 -0.2066E-03 -0.7473E-02
  255  0.8925E+03  0.2972E-01  0.9971E-02  0.1975E-01  0.3742E-01  0.1018E-01  0.2724E-01 -0.7695E-02 -0.2066E-03 -0.7488E-02
  256  0.8960E+03  0.2972E-01  0.9935E-02  0.1979E-01  0.3743E-01  0.1014E-01  0.2729E-01 -0.7710E-02 -0.2066E-03 -0.7503E-02
  257  0.8995E+03  0.2973E-01  0.9899E-02  0.1983E-01  0.3745E-01  0.1011E-01  0.2735E-01 -0.7725E-02 -0.2065E-03 -0.7518E-02
  258  0.9030E+03  0.2973E-01  0.9864E-02  0.1987E-01  0.3747E-01  0.1007E-01  0.2740E-01 -0.7740E-02 -0.2065E-03 -0.7533E-02
  259  0.9065E+03  0.2974E-01  0.9829E-02  0.1991E-01  0.3749E-01  0.1004E-01  0.2746E-01 -0.7755E-02 -0.2065E-03 -0.7548E-02
  260  0.9100E+03  0.2974E-01  0.9794E-02  0.1995E-01  0.3751E-01  0.1000E-01  0.2751E-01 -0.7769E-02 -0.2065E-03 -0.7563E-02
  261  0.9135E+03  0.2975E-01  0.9760E-02  0.1999E-01  0.3753E-01  0.9966E-02  0.2756E-01 -0.7784E-02 -0.2065E-03 -0.7578E-02
  262  0.9170E+03  0.2975E-01  0.9726E-02  0.2002E-01  0.3755E-01  0.9932E-02  0.2762E-01 -0.7799E-02 -0.2065E-03 -0.7593E-02
  263  0.9205E+03  0.2975E-01  0.9692E-02  0.2006E-01  0.3757E-01  0.9898E-02  0.2767E-01 -0.7814E-02 -0.2064E-03 -0.7607E-02
  264  0.9240E+03  0.2976E-01  0.9658E-02  0.2010E-01  0.3759E-01  0.9864E-02  0.2772E-01 -0.7828E-02 -0.2064E-03 -0.7622E-02
  265  0.9275E+03  0.2976E-01  0.9624E-02  0.2014E-01  0.3761E-01  0.9831E-02  0.2778E-01 -0.7843E-02 -0.2064E-03 -0.7637E-02
  266  0.9310E+03  0.2977E-01  0.9591E-02  0.2018E-01  0.3763E-01  0.9797E-02  0.2783E-01 -0.7858E-02 -0.2064E-03 -0.7651E-02
  267  0.9345E+03  0.2978E-01  0.9558E-02  0.2022E-01  0.3765E-01  0.9764E-02  0.2788E-01 -0.7872E-02 -0.2064E-03 -0.7666E-02
  268  0.9380E+03  0.2978E-01  0.9525E-02  0.2026E-01  0.3767E-01  0.9731E-02  0.2794E-01 -0.7887E-02 -0.2063E-03 -0.7681E-02
  269  0.9415E+03  0.2979E-01  0.9493E-02  0.2029E-01  0.3769E-01  0.9699E-02  0.2799E-01 -0.7902E-02 -0.2063E-03 -0.7695E-02
  270  0.9450E+03  0.2979E-01  0.9460E-02  0.2033E-01  0.3771E-01  0.9666E-02  0.2804E-01 -0.7916E-02 -0.2063E-03 -0.7710E-02
  271  0.9485E+03  0.2980E-01  0.9428E-02  0.2037E-01  0.3773E-01  0.9634E-02  0.2810E-01 -0.7931E-02 -0.2063E-03 -0.7724E-02
  272  0.9520E+03  0.2980E-01  0.9396E-02  0.2041E-01  0.3775E-01  0.9602E-02  0.2815E-01 -0.7945E-02 -0.2062E-03 -0.7739E-02
  273  0.9555E+03  0.2981E-01  0.9365E-02  0.2045E-01  0.3777E-01  0.9571E-02  0.2820E-01 -0.7960E-02 -0.2062E-03 -0.7753E-02
  274  0.9590E+03  0.2982E-01  0.9333E-02  0.2048E-01  0.3779E-01  0.9539E-02  0.2825E-01 -0.7974E-02 -0.2062E-03 -0.7768E-02
  275  0.9625E+03  0.2982E-01  0.9302E-02  0.2052E-01  0.3781E-01  0.9508E-02  0.2830E-01 -0.7989E-02 -0.2062E-03 -0.7782E-02
  276  0.9660E+03  0.2983E-01  0.9271E-02  0.2056E-01  0.3783E-01  0.9477E-02  0.2836E-01 -0.8003E-02 -0.2061E-03 -0.7797E-02
  277  0.9695E+03  0.2984E-01  0.9240E-02  0.2060E-01  0.3786E-01  0.9446E-02  0.2841E-01 -0.8017E-02 -0.2061E-03 -0.7811E-02
  278  0.9730E+03  0.2985E-01  0.9209E-02  0.2064E-01  0.3788E-01  0.9415E-02  0.2846E-01 -0.8032E-02 -0.2061E-03 -0.7825E-02
  279  0.9765E+03  0.2985E-01  0.9179E-02  0.2067E-01  0.3790E-01  0.9385E-02  0.2851E-01 -0.8046E-02 -0.2060E-03 -0.7840E-02
  280  0.9800E+03  0.2986E-01  0.9149E-02  0.2071E-01  0.3792E-01  0.9355E-02  0.2856E-01 -0.8060E-02 -0.2060E-03 -0.7854E-02
  281  0.9835E+03  0.2987E-01  0.9119E-02  0.2075E-01  0.3794E-01  0.9325E-02  0.2862E-01 -0.8074E-02 -0.2060E-03 -0.7868E-02
  282  0.9870E+03  0.2987E-01  0.9089E-02  0.2079E-01  0.3796E-01  0.9295E-02  0.2867E-01 -0.8089E-02 -0.2059E-03 -0.7883E-02
  283  0.9905E+03  0.2988E-01  0.9059E-02  0.2082E-01  0.3799E-01  0.9265E-02  0.2872E-01 -0.8103E-02 -0.2059E-03 -0.7897E-02
  284  0.9940E+03  0.2989E-01  0.9030E-02  0.2086E-01  0.3801E-01  0.9236E-02  0.2877E-01 -0.8117E-02 -0.2059E-03 -0.7911E-02
  285  0.9975E+03  0.2990E-01  0.9001E-02  0.2090E-01  0.3803E-01  0.9207E-02  0.2882E-01 -0.8131E-02 -0.2058E-03 -0.7925E-02
  286  0.1001E+04  0.2991E-01  0.8972E-02  0.2093E-01  0.3805E-01  0.9178E-02  0.2887E-01 -0.8145E-02 -0.2058E-03 -0.7939E-02
  287  0.1005E+04  0.2991E-01  0.8943E-02  0.2097E-01  0.3807E-01  0.9149E-02  0.2892E-01 -0.8159E-02 -0.2058E-03 -0.7953E-02
  288  0.1008E+04  0.2992E-01  0.8914E-02  0.2101E-01  0.3810E-01  0.9120E-02  0.2898E-01 -0.8173E-02 -0.2057E-03 -0.7967E-02
  289  0.1012E+04  0.2993E-01  0.8886E-02  0.2105E-01  0.3812E-01  0.9092E-02  0.2903E-01 -0.8187E-02 -0.2057E-03 -0.7981E-02
  290  0.1015E+04  0.2994E-01  0.8858E-02  0.2108E-01  0.3814E-01  0.9063E-02  0.2908E-01 -0.8201E-02 -0.2057E-03 -0.7996E-02
  291  0.1019E+04  0.2995E-01  0.8830E-02  0.2112E-01  0.3816E-01  0.9035E-02  0.2913E-01 -0.8215E-02 -0.2056E-03 -0.8010E-02
  292  0.1022E+04  0.2996E-01  0.8802E-02  0.2116E-01  0.3819E-01  0.9007E-02  0.2918E-01 -0.8229E-02 -0.2056E-03 -0.8023E-02
  293  0.1026E+04  0.2997E-01  0.8774E-02  0.2119E-01  0.3821E-01  0.8980E-02  0.2923E-01 -0.8243E-02 -0.2056E-03 -0.8037E-02
  294  0.1029E+04  0.2998E-01  0.8746E-02  0.2123E-01  0.3823E-01  0.8952E-02  0.2928E-01 -0.8257E-02 -0.2055E-03 -0.8051E-02
  295  0.1033E+04  0.2998E-01  0.8719E-02  0.2127E-01  0.3826E-01  0.8925E-02  0.2933E-01 -0.8271E-02 -0.2055E-03 -0.8065E-02
