#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.5000D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3728D-02  0.2636D-02  0.9524D-01  0.3563D-02
# ab  =  0.1607D+00  0.5900D+03  0.8850D+03
# etab=  0.3359D+00  0.3359D+00  0.3359D+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.3239359627065E+03  -0.3201033638994E+03  -0.3832598807150E+01
     1   0.11800000E+02   0.2513493008712E+00   0.2450132742843E+00   0.6336026586949E-02
     2   0.23600000E+02   0.2118629867467E+00   0.1997538176506E+00   0.1210916909606E-01
     3   0.35400000E+02   0.1689485533823E+00   0.1529929196587E+00   0.1595563372353E-01
     4   0.47200000E+02   0.1417090852823E+00   0.1226999541855E+00   0.1900913109684E-01
     5   0.59000000E+02   0.1240705831687E+00   0.1024481959944E+00   0.2162238717433E-01
     6   0.70800000E+02   0.1120354562966E+00   0.8808952077940E-01   0.2394593551724E-01
     7   0.82600000E+02   0.1034495660535E+00   0.7739003484795E-01   0.2605953120551E-01
     8   0.94400000E+02   0.9711450091053E-01   0.6910292891589E-01   0.2801157199464E-01
     9   0.10620000E+03   0.9232240196679E-01   0.6248830148754E-01   0.2983410047924E-01
    10   0.11800000E+03   0.8863064716366E-01   0.5708096452082E-01   0.3154968264283E-01
    11   0.12980000E+03   0.8574686923760E-01   0.5257175739803E-01   0.3317511183957E-01
    12   0.14160000E+03   0.8347828674505E-01   0.4875519276316E-01   0.3472309398189E-01
    13   0.15340000E+03   0.8168273044121E-01   0.4547912163810E-01   0.3620360880311E-01
    14   0.16520000E+03   0.8025916214266E-01   0.4263464145995E-01   0.3762452068271E-01
    15   0.17700000E+03   0.7913292731044E-01   0.4014044212967E-01   0.3899248518078E-01
    16   0.18880000E+03   0.7824524121873E-01   0.3793234115749E-01   0.4031290006124E-01
    17   0.20060000E+03   0.7755726422343E-01   0.3596695873577E-01   0.4159030548765E-01
    18   0.21240000E+03   0.7703250299814E-01   0.3420394792773E-01   0.4282855507041E-01
    19   0.22420000E+03   0.7664403056936E-01   0.3261307338432E-01   0.4403095718503E-01
    20   0.23600000E+03   0.7637026417131E-01   0.3116988683516E-01   0.4520037733614E-01
    21   0.24780000E+03   0.7619371532411E-01   0.2985440036406E-01   0.4633931496005E-01
