#     p=   0.1000000000000E+01
#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1250D+26   0.4167D+25  0.4167D+25  0.1250D+26
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.4168D-02  0.3107D-02  0.9524D-01  0.4453D-02
# ab  =  0.1607E+00  0.5900E+03  0.8850E+03  0.2950E+03
# etab=  0.3359E+00  0.3359E+00  0.3359E+00  0.3359E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.5082236504136E+03  -0.5038325839094E+03  -0.4391066504212E+01
     1   0.11800000E+02   0.5001448120917E+00   0.4929665476259E+00   0.7178264465760E-02
     2   0.23600000E+02   0.5411004016868E+00   0.5267230680928E+00   0.1437733359394E-01
     3   0.35400000E+02   0.4819116083993E+00   0.4624088512106E+00   0.1950275718867E-01
     4   0.47200000E+02   0.4193517550692E+00   0.3958680262372E+00   0.2348372883200E-01
     5   0.59000000E+02   0.3689673997948E+00   0.3421841370518E+00   0.2678326274302E-01
     6   0.70800000E+02   0.3295532323991E+00   0.2999012265838E+00   0.2965200581524E-01
     7   0.82600000E+02   0.2986544355092E+00   0.2664278360240E+00   0.3222659948519E-01
     8   0.94400000E+02   0.2741775291344E+00   0.2395914843404E+00   0.3458604479395E-01
     9   0.10620000E+03   0.2545002250396E+00   0.2177208868876E+00   0.3677933815199E-01
    10   0.11800000E+03   0.2384396570898E+00   0.1996007080030E+00   0.3883894908680E-01
    11   0.12980000E+03   0.2251437726707E+00   0.1843559858203E+00   0.4078778685038E-01
    12   0.14160000E+03   0.2140019957770E+00   0.1713594216553E+00   0.4264257412167E-01
    13   0.15340000E+03   0.2045614571908E+00   0.1601453830975E+00   0.4441607409329E-01
    14   0.16520000E+03   0.1964864787994E+00   0.1503683033756E+00   0.4611817542372E-01
    15   0.17700000E+03   0.1895230587827E+00   0.1417660276769E+00   0.4775703110584E-01
    16   0.18880000E+03   0.1834738023359E+00   0.1341345824143E+00   0.4933921992161E-01
    17   0.20060000E+03   0.1781898711453E+00   0.1273196438923E+00   0.5087022725302E-01
    18   0.21240000E+03   0.1735482440315E+00   0.1211935621124E+00   0.5235468191903E-01
    19   0.22420000E+03   0.1694519676063E+00   0.1156554278763E+00   0.5379653973001E-01
    20   0.23600000E+03   0.1658224406809E+00   0.1106232250620E+00   0.5519921561889E-01
    21   0.24780000E+03   0.1625954003173E+00   0.1060297186725E+00   0.5656568164476E-01
    22   0.25960000E+03   0.1597173976787E+00   0.1018188499652E+00   0.5789854771355E-01
    23   0.27140000E+03   0.1571441682905E+00   0.9794405146314E-01   0.5920011682737E-01
    24   0.28320000E+03   0.1548384333912E+00   0.9436599299976E-01   0.6047244039139E-01
    25   0.29500000E+03   0.1527686466029E+00   0.9105129793070E-01   0.6171734867218E-01
