#     p=   0.5000000000000E+00
#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1136D+26   0.4545D+25  0.4545D+25  0.5682D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3974D-02  0.2616D-02  0.9524D-01  0.4048D-02
# ab  =  0.1607E+00  0.5900E+03  0.8850E+03  0.2950E+03
# etab=  0.3359E+00  0.3359E+00  0.3359E+00  0.3359E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.4045380493820E+03  -0.4003731624777E+03  -0.4164886904350E+01
     1   0.11800000E+02   0.3633738126223E+00   0.3565461291304E+00   0.6827683491875E-02
     2   0.23600000E+02   0.3609227022414E+00   0.3475414039635E+00   0.1338129827791E-01
     3   0.35400000E+02   0.3105182905665E+00   0.2926401218094E+00   0.1787816875709E-01
     4   0.47200000E+02   0.2673528110585E+00   0.2459481195510E+00   0.2140469150750E-01
     5   0.59000000E+02   0.2349918725376E+00   0.2106133902899E+00   0.2437848224770E-01
     6   0.70800000E+02   0.2106524086237E+00   0.1836566712978E+00   0.2699573732594E-01
     7   0.82600000E+02   0.1920416035471E+00   0.1626798375334E+00   0.2936176601377E-01
     8   0.94400000E+02   0.1775595497086E+00   0.1460205069674E+00   0.3153904274123E-01
     9   0.10620000E+03   0.1660873137288E+00   0.1325196667271E+00   0.3356764700172E-01
    10   0.11800000E+03   0.1568490060333E+00   0.1213740232358E+00   0.3547498279752E-01
    11   0.12980000E+03   0.1493001755153E+00   0.1120192597025E+00   0.3728091581277E-01
    12   0.14160000E+03   0.1430595672779E+00   0.1040593445226E+00   0.3900022275528E-01
    13   0.15340000E+03   0.1378449875100E+00   0.9720063639562E-01   0.4064435111440E-01
    14   0.16520000E+03   0.1334496502722E+00   0.9122739697750E-01   0.4222225329472E-01
    15   0.17700000E+03   0.1297180693182E+00   0.8597666729487E-01   0.4374140202331E-01
    16   0.18880000E+03   0.1265290298918E+00   0.8132118222199E-01   0.4520784766978E-01
