#     p=   0.5000000000000E+00
#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1136D+26   0.4545D+25  0.4545D+25  0.5682D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3974D-02  0.2616D-02  0.9524D-01  0.4048D-02
# ab  =  0.1607E+00  0.5900E+03  0.8850E+03  0.2950E+03
# etab=  0.3359E+00  0.3359E+00  0.3359E+00  0.3359E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
    17   0.20060000E+03   0.1237940521267E+00   0.7716739440345E-01   0.4662665772328E-01
    18   0.21240000E+03   0.1214377014609E+00   0.7343558004266E-01   0.4800212141822E-01
    19   0.22420000E+03   0.1194015061285E+00   0.7006359320895E-01   0.4933791291957E-01
    20   0.23600000E+03   0.1176382047215E+00   0.6700099535840E-01   0.5063720936311E-01
    21   0.24780000E+03   0.1161092475059E+00   0.6420646850835E-01   0.5190277899754E-01
    22   0.25960000E+03   0.1147827055460E+00   0.6164565049727E-01   0.5313705504873E-01
    23   0.27140000E+03   0.1136321586344E+00   0.5928997314639E-01   0.5434218548804E-01
    24   0.28320000E+03   0.1126354277066E+00   0.5711534280156E-01   0.5552008490506E-01
    25   0.29500000E+03   0.1117737857481E+00   0.5510132429218E-01   0.5667246145589E-01
    26   0.30680000E+03   0.1110312860978E+00   0.5323046926842E-01   0.5780081682941E-01
    27   0.31860000E+03   0.1103942946226E+00   0.5148778869107E-01   0.5890650593152E-01
    28   0.33040000E+03   0.1098511877300E+00   0.4986032906530E-01   0.5999085866469E-01
    29   0.34220000E+03   0.1093918621381E+00   0.4833684213842E-01   0.6105501999965E-01
    30   0.35400000E+03   0.1090075398689E+00   0.4690750805627E-01   0.6210003181267E-01
    31   0.36580000E+03   0.1086883383248E+00   0.4556148970643E-01   0.6312684861836E-01
    32   0.37760000E+03   0.1084321293514E+00   0.4429578017108E-01   0.6413634918035E-01
    33   0.38940000E+03   0.1082306619145E+00   0.4310131896879E-01   0.6512934294570E-01
    34   0.40120000E+03   0.1080787301081E+00   0.4197215434360E-01   0.6610657576452E-01
    35   0.41300000E+03   0.1079717259207E+00   0.4090298518445E-01   0.6706874073629E-01
    36   0.42480000E+03   0.1079055534673E+00   0.3988907478554E-01   0.6801647868175E-01
    37   0.43660000E+03   0.1078765647006E+00   0.3892617616846E-01   0.6895038853215E-01
    38   0.44840000E+03   0.1078814945170E+00   0.3801047027309E-01   0.6987102424390E-01
    39   0.46020000E+03   0.1079174214261E+00   0.3713851367829E-01   0.7077890774777E-01
    40   0.47200000E+03   0.1079817188933E+00   0.3630719311400E-01   0.7167452577932E-01
    41   0.48380000E+03   0.1080720209097E+00   0.3551368615115E-01   0.7255833475854E-01
    42   0.49560000E+03   0.1081861898135E+00   0.3475542853340E-01   0.7343076128005E-01
    43   0.50740000E+03   0.1083222919529E+00   0.3403008461436E-01   0.7429220733859E-01
    44   0.51920000E+03   0.1084785744123E+00   0.3333552208817E-01   0.7514305232410E-01
    45   0.53100000E+03   0.1086534454594E+00   0.3266979086524E-01   0.7598365459419E-01
    46   0.54280000E+03   0.1088454552351E+00   0.3203110429883E-01   0.7681435093628E-01
    47   0.55460000E+03   0.1090532819979E+00   0.3141782079877E-01   0.7763546119917E-01
    48   0.56640000E+03   0.1092757190851E+00   0.3082843047443E-01   0.7844728861070E-01
    49   0.57820000E+03   0.1095116234940E+00   0.3026154162017E-01   0.7925008187380E-01
    50   0.59000000E+03   0.1097600550504E+00   0.2971587012286E-01   0.8004418492750E-01
    51   0.60180000E+03   0.1100200481511E+00   0.2919022784290E-01   0.8082982030819E-01
    52   0.61360000E+03   0.1102907490021E+00   0.2868351535250E-01   0.8160723364962E-01
    53   0.62540000E+03   0.1105713709651E+00   0.2819471192399E-01   0.8237665904115E-01
    54   0.63720000E+03   0.1108611898834E+00   0.2772287075250E-01   0.8313831913085E-01
    55   0.64900000E+03   0.1111595354311E+00   0.2726710987539E-01   0.8389242555567E-01
    56   0.66080000E+03   0.1114657902666E+00   0.2682660944239E-01   0.8463918082425E-01
    57   0.67260000E+03   0.1117793842592E+00   0.2640060334483E-01   0.8537878091439E-01
    58   0.68440000E+03   0.1120997877477E+00   0.2598837795565E-01   0.8611140979205E-01
    59   0.69620000E+03   0.1124265087225E+00   0.2558926462610E-01   0.8683724409639E-01
    60   0.70800000E+03   0.1127590936846E+00   0.2520263858432E-01   0.8755645510026E-01
    61   0.71980000E+03   0.1130971185680E+00   0.2482791434901E-01   0.8826920421894E-01
    62   0.73160000E+03   0.1134401897528E+00   0.2446454242154E-01   0.8897564733131E-01
    63   0.74340000E+03   0.1137879432090E+00   0.2411200725952E-01   0.8967593594951E-01
    64   0.75520000E+03   0.1141400364820E+00   0.2376982415762E-01   0.9037021232435E-01
    65   0.76700000E+03   0.1144961518228E+00   0.2343753730189E-01   0.9105861452091E-01
    66   0.77880000E+03   0.1148559947286E+00   0.2311471744055E-01   0.9174127728810E-01
    67   0.79060000E+03   0.1152192871106E+00   0.2280095982976E-01   0.9241832728088E-01
    68   0.80240000E+03   0.1155857695341E+00   0.2249588297755E-01   0.9308988655650E-01
    69   0.81420000E+03   0.1159552028010E+00   0.2219912609415E-01   0.9375607670688E-01
    70   0.82600000E+03   0.1163273592262E+00   0.2191034882319E-01   0.9441701040305E-01
    71   0.83780000E+03   0.1167020257829E+00   0.2162922919782E-01   0.9507279658504E-01
    72   0.84960000E+03   0.1170790071540E+00   0.2135546257299E-01   0.9572354458104E-01
    73   0.86140000E+03   0.1174581152583E+00   0.2108876000074E-01   0.9636935525751E-01
    74   0.87320000E+03   0.1178391755179E+00   0.2082884777946E-01   0.9701032773841E-01
    75   0.88500000E+03   0.1182220255289E+00   0.2057546642784E-01   0.9764655910104E-01
    76   0.89680000E+03   0.1186065099084E+00   0.2032836928713E-01   0.9827814062129E-01
    77   0.90860000E+03   0.1189924864854E+00   0.2008732257332E-01   0.9890516391212E-01
    78   0.92040000E+03   0.1193798180448E+00   0.1985210376858E-01   0.9952771427623E-01
    79   0.93220000E+03   0.1197683772432E+00   0.1962250127243E-01   0.1001458759708E+00
    80   0.94400000E+03   0.1201580433992E+00   0.1939831315785E-01   0.1007597302414E+00
    81   0.95580000E+03   0.1205487051446E+00   0.1917934830537E-01   0.1013693568393E+00
    82   0.96760000E+03   0.1209402541586E+00   0.1896542331832E-01   0.1019748308403E+00
    83   0.97940000E+03   0.1213325917904E+00   0.1875636406210E-01   0.1025762277283E+00
    84   0.99120000E+03   0.1217256242962E+00   0.1855200456737E-01   0.1031736197289E+00
    85   0.10030000E+04   0.1221192601477E+00   0.1835218557682E-01   0.1037670745709E+00
    86   0.10148000E+04   0.1225134166199E+00   0.1815675573944E-01   0.1043566608805E+00
    87   0.10266000E+04   0.1229080157418E+00   0.1796557017736E-01   0.1049424455645E+00
    88   0.10384000E+04   0.1233029801917E+00   0.1777849026849E-01   0.1055244899232E+00
    89   0.10502000E+04   0.1236982426996E+00   0.1759538338408E-01   0.1061028593156E+00
    90   0.10620000E+04   0.1240937345685E+00   0.1741612298213E-01   0.1066776115864E+00
    91   0.10738000E+04   0.1244893956681E+00   0.1724058742053E-01   0.1072488082476E+00
    92   0.10856000E+04   0.1248851629690E+00   0.1706866008245E-01   0.1078165028865E+00
    93   0.10974000E+04   0.1252809821691E+00   0.1690023005849E-01   0.1083807521106E+00
    94   0.11092000E+04   0.1256768014665E+00   0.1673518984989E-01   0.1089416116166E+00
    95   0.11210000E+04   0.1260725697993E+00   0.1657343710277E-01   0.1094991326966E+00
    96   0.11328000E+04   0.1264682408351E+00   0.1641487322565E-01   0.1100533676094E+00
    97   0.11446000E+04   0.1268637685631E+00   0.1625940404880E-01   0.1106043645143E+00
    98   0.11564000E+04   0.1272591113273E+00   0.1610693815693E-01   0.1111521731704E+00
    99   0.11682000E+04   0.1276542300159E+00   0.1595738868812E-01   0.1116968413277E+00
   100   0.11800000E+04   0.1280490869441E+00   0.1581067173934E-01   0.1122384152047E+00
   101   0.11918000E+04   0.1284436455754E+00   0.1566670661726E-01   0.1127769389581E+00
   102   0.12036000E+04   0.1288378730213E+00   0.1552541546503E-01   0.1133124575563E+00
   103   0.12154000E+04   0.1292317367031E+00   0.1538672366861E-01   0.1138450130345E+00
   104   0.12272000E+04   0.1296252077746E+00   0.1525055950886E-01   0.1143746482657E+00
   105   0.12390000E+04   0.1300182573619E+00   0.1511685340354E-01   0.1149014039584E+00
   106   0.12508000E+04   0.1304108584949E+00   0.1498553884925E-01   0.1154253196457E+00
   107   0.12626000E+04   0.1308029852413E+00   0.1485655131082E-01   0.1159464339305E+00
   108   0.12744000E+04   0.1311946153468E+00   0.1472982868717E-01   0.1164647866596E+00
   109   0.12862000E+04   0.1315857243440E+00   0.1460531132823E-01   0.1169804130158E+00
   110   0.12980000E+04   0.1319762914913E+00   0.1448294150660E-01   0.1174933499847E+00
   111   0.13098000E+04   0.1323662970888E+00   0.1436266348034E-01   0.1180036336084E+00
   112   0.13216000E+04   0.1327557210563E+00   0.1424442339383E-01   0.1185112976625E+00
   113   0.13334000E+04   0.1331445137082E+00   0.1412816912110E-01   0.1190163445871E+00
   114   0.13452000E+04   0.1335327237958E+00   0.1401385064958E-01   0.1195188731462E+00
   115   0.13570000E+04   0.1339203013239E+00   0.1390141964096E-01   0.1200188816829E+00
   116   0.13688000E+04   0.1343072323284E+00   0.1379082869935E-01   0.1205164036291E+00
   117   0.13806000E+04   0.1346935023870E+00   0.1368203305164E-01   0.1210114693354E+00
   118   0.13924000E+04   0.1350790974841E+00   0.1357498856782E-01   0.1215041089163E+00
   119   0.14042000E+04   0.1354640054321E+00   0.1346965294413E-01   0.1219943524880E+00
   120   0.14160000E+04   0.1358482145559E+00   0.1336598483908E-01   0.1224822297168E+00
   121   0.14278000E+04   0.1362317142769E+00   0.1326394489640E-01   0.1229677693805E+00
   122   0.14396000E+04   0.1366144929354E+00   0.1316349445618E-01   0.1234509984792E+00
   123   0.14514000E+04   0.1369965420980E+00   0.1306459609923E-01   0.1239319459987E+00
   124   0.14632000E+04   0.1373778517058E+00   0.1296721412479E-01   0.1244106375810E+00
   125   0.14750000E+04   0.1377584134730E+00   0.1287131309299E-01   0.1248871003800E+00
   126   0.14868000E+04   0.1381382191344E+00   0.1277685928681E-01   0.1253613598476E+00
   127   0.14986000E+04   0.1385172604535E+00   0.1268381997285E-01   0.1258334404807E+00
   128   0.15104000E+04   0.1388955326565E+00   0.1259216308556E-01   0.1263033695709E+00
   129   0.15222000E+04   0.1392730271061E+00   0.1250185786140E-01   0.1267711692447E+00
   130   0.15340000E+04   0.1396497380802E+00   0.1241287396143E-01   0.1272368641187E+00
   131   0.15458000E+04   0.1400256609557E+00   0.1232518260572E-01   0.1277004783500E+00
   132   0.15576000E+04   0.1404007881231E+00   0.1223875538798E-01   0.1281620327352E+00
   133   0.15694000E+04   0.1407751181458E+00   0.1215356493803E-01   0.1286215532078E+00
   134   0.15812000E+04   0.1411486441627E+00   0.1206958457736E-01   0.1290790595854E+00
   135   0.15930000E+04   0.1415213625150E+00   0.1198678843478E-01   0.1295345740802E+00
   136   0.16048000E+04   0.1418932695264E+00   0.1190515138873E-01   0.1299881181376E+00
   137   0.16166000E+04   0.1422643620637E+00   0.1182464890073E-01   0.1304397131630E+00
   138   0.16284000E+04   0.1426346370093E+00   0.1174525738676E-01   0.1308893796226E+00
   139   0.16402000E+04   0.1430040906779E+00   0.1166695370885E-01   0.1313371369691E+00
   140   0.16520000E+04   0.1433727214313E+00   0.1158971532761E-01   0.1317830061037E+00
   141   0.16638000E+04   0.1437405265029E+00   0.1151352054392E-01   0.1322270059589E+00
   142   0.16756000E+04   0.1441075039509E+00   0.1143834807469E-01   0.1326691558762E+00
   143   0.16874000E+04   0.1444736515837E+00   0.1136417721799E-01   0.1331094743657E+00
   144   0.16992000E+04   0.1448389687356E+00   0.1129098796873E-01   0.1335479807669E+00
   145   0.17110000E+04   0.1452034524882E+00   0.1121876056941E-01   0.1339846919188E+00
   146   0.17228000E+04   0.1455671035038E+00   0.1114747625968E-01   0.1344196272441E+00
   147   0.17346000E+04   0.1459299195893E+00   0.1107711639498E-01   0.1348528031944E+00
   148   0.17464000E+04   0.1462919007002E+00   0.1100766275326E-01   0.1352842379470E+00
   149   0.17582000E+04   0.1466530462547E+00   0.1093909797197E-01   0.1357139482827E+00
   150   0.17700000E+04   0.1470133558995E+00   0.1087140488590E-01   0.1361419510136E+00
   151   0.17818000E+04   0.1473728286082E+00   0.1080456652620E-01   0.1365682620820E+00
   152   0.17936000E+04   0.1477314651533E+00   0.1073856712309E-01   0.1369928980302E+00
   153   0.18054000E+04   0.1480892650205E+00   0.1067339053389E-01   0.1374158744866E+00
   154   0.18172000E+04   0.1484462284393E+00   0.1060902123523E-01   0.1378372072040E+00
   155   0.18290000E+04   0.1488023560109E+00   0.1054544421510E-01   0.1382569117958E+00
   156   0.18408000E+04   0.1491576484936E+00   0.1048264497640E-01   0.1386750035172E+00
   157   0.18526000E+04   0.1495121060803E+00   0.1042060891795E-01   0.1390914971623E+00
   158   0.18644000E+04   0.1498657304198E+00   0.1035932232819E-01   0.1395064080916E+00
   159   0.18762000E+04   0.1502185199272E+00   0.1029877135782E-01   0.1399197485694E+00
   160   0.18880000E+04   0.1505704787446E+00   0.1023894279656E-01   0.1403315359480E+00
   161   0.18998000E+04   0.1509216053088E+00   0.1017982371617E-01   0.1407417815926E+00
   162   0.19116000E+04   0.1512719028884E+00   0.1012140122841E-01   0.1411505016600E+00
   163   0.19234000E+04   0.1516213320806E+00   0.1006366333038E-01   0.1415576687502E+00
   164   0.19352000E+04   0.1519699722600E+00   0.1000659756709E-01   0.1419633746929E+00
   165   0.19470000E+04   0.1523177874536E+00   0.9950192334721E-02   0.1423675951188E+00
   166   0.19588000E+04   0.1526647765149E+00   0.9894436063712E-02   0.1427703404512E+00
   167   0.19706000E+04   0.1530109438422E+00   0.9839317651091E-02   0.1431716261911E+00
   168   0.19824000E+04   0.1533562889526E+00   0.9784825958084E-02   0.1435714629945E+00
   169   0.19942000E+04   0.1537008144444E+00   0.9730950248406E-02   0.1439698641960E+00
   170   0.20060000E+04   0.1540445222168E+00   0.9677679953268E-02   0.1443668422635E+00
   171   0.20178000E+04   0.1543874144329E+00   0.9625005021688E-02   0.1447624094112E+00
   172   0.20296000E+04   0.1547294909568E+00   0.9572915342622E-02   0.1451565756141E+00
   173   0.20414000E+04   0.1550707563481E+00   0.9521401097693E-02   0.1455493552504E+00
   174   0.20532000E+04   0.1554112116703E+00   0.9470452878587E-02   0.1459407587917E+00
   175   0.20650000E+04   0.1557508585025E+00   0.9420060911150E-02   0.1463307975913E+00
   176   0.20768000E+04   0.1560896983919E+00   0.9370216512142E-02   0.1467194818798E+00
   177   0.20886000E+04   0.1564277350018E+00   0.9320910350747E-02   0.1471068246510E+00
   178   0.21004000E+04   0.1567649699039E+00   0.9272133926305E-02   0.1474928359776E+00
   179   0.21122000E+04   0.1571014042339E+00   0.9223878539386E-02   0.1478775256945E+00
   180   0.21240000E+04   0.1574370419448E+00   0.9176135748982E-02   0.1482609061958E+00
   181   0.21358000E+04   0.1577718844468E+00   0.9128897481231E-02   0.1486429869656E+00
   182   0.21476000E+04   0.1581059342650E+00   0.9082155670038E-02   0.1490237785950E+00
   183   0.21594000E+04   0.1584391937645E+00   0.9035902360522E-02   0.1494032914040E+00
   184   0.21712000E+04   0.1587716647027E+00   0.8990129879759E-02   0.1497815348229E+00
   185   0.21830000E+04   0.1591033504140E+00   0.8944830806335E-02   0.1501585196077E+00
   186   0.21948000E+04   0.1594342524894E+00   0.8899997763466E-02   0.1505342547259E+00
   187   0.22066000E+04   0.1595716502341E+00   0.8855623400831E-02   0.1507160268333E+00
   188   0.22184000E+04   0.1598984484554E+00   0.8811700728968E-02   0.1510867477265E+00
   189   0.22302000E+04   0.1602244509039E+00   0.8768222845321E-02   0.1514562280586E+00
   190   0.22420000E+04   0.1605496602743E+00   0.8725182920905E-02   0.1518244773534E+00
   191   0.22538000E+04   0.1608740785776E+00   0.8682574232793E-02   0.1521915043448E+00
   192   0.22656000E+04   0.1611977090016E+00   0.8640390276685E-02   0.1525573187249E+00
   193   0.22774000E+04   0.1615205535967E+00   0.8598624841611E-02   0.1529219287551E+00
   194   0.22892000E+04   0.1618426145820E+00   0.8557271568594E-02   0.1532853430134E+00
   195   0.23010000E+04   0.1621638948792E+00   0.8516324309014E-02   0.1536475705702E+00
   196   0.23128000E+04   0.1624843980503E+00   0.8475777109897E-02   0.1540086209404E+00
   197   0.23246000E+04   0.1628041246336E+00   0.8435623934581E-02   0.1543685006991E+00
   198   0.23364000E+04   0.1631230784123E+00   0.8395859169470E-02   0.1547272192429E+00
   199   0.23482000E+04   0.1634412620379E+00   0.8356477107366E-02   0.1550847849306E+00
   200   0.23600000E+04   0.1637586785876E+00   0.8317472184716E-02   0.1554412064029E+00
   201   0.23718000E+04   0.1640753291802E+00   0.8278838977408E-02   0.1557964902028E+00
   202   0.23836000E+04   0.1643912173917E+00   0.8240572208683E-02   0.1561506451830E+00
   203   0.23954000E+04   0.1647063463265E+00   0.8202666500514E-02   0.1565036798260E+00
   204   0.24072000E+04   0.1650207172360E+00   0.8165116740622E-02   0.1568556004954E+00
   205   0.24190000E+04   0.1653343340132E+00   0.8127917979721E-02   0.1572064160335E+00
   206   0.24308000E+04   0.1656471980844E+00   0.8091065146613E-02   0.1575561329378E+00
   207   0.24426000E+04   0.1659593130755E+00   0.8054553577219E-02   0.1579047594983E+00
   208   0.24544000E+04   0.1662706821691E+00   0.8018378356699E-02   0.1582523038124E+00
   209   0.24662000E+04   0.1665813062768E+00   0.7982534875409E-02   0.1585987714014E+00
   210   0.24780000E+04   0.1668911892185E+00   0.7947018485056E-02   0.1589441707334E+00
   211   0.24898000E+04   0.1672003334841E+00   0.7911824821726E-02   0.1592885086623E+00
   212   0.25016000E+04   0.1675087412943E+00   0.7876949423840E-02   0.1596317918705E+00
   213   0.25134000E+04   0.1678164152735E+00   0.7842387773377E-02   0.1599740275001E+00
   214   0.25252000E+04   0.1681233594827E+00   0.7808135879020E-02   0.1603152236037E+00
   215   0.25370000E+04   0.1684295745462E+00   0.7774189320997E-02   0.1606553852252E+00
   216   0.25488000E+04   0.1687350642758E+00   0.7740544196834E-02   0.1609945200790E+00
   217   0.25606000E+04   0.1690398309893E+00   0.7707196261060E-02   0.1613326347282E+00
   218   0.25724000E+04   0.1693438777243E+00   0.7674141842355E-02   0.1616697358819E+00
   219   0.25842000E+04   0.1696472059844E+00   0.7641376718922E-02   0.1620058292655E+00
   220   0.25960000E+04   0.1699498195411E+00   0.7608897418478E-02   0.1623409221226E+00
   221   0.26078000E+04   0.1702517204519E+00   0.7576699801788E-02   0.1626750206501E+00
   222   0.26196000E+04   0.1705529112656E+00   0.7544780569347E-02   0.1630081306963E+00
   223   0.26314000E+04   0.1708533954331E+00   0.7513135721905E-02   0.1633402597112E+00
   224   0.26432000E+04   0.1711531747593E+00   0.7481761973285E-02   0.1636714127860E+00
   225   0.26550000E+04   0.1714522517173E+00   0.7450655792124E-02   0.1640015959252E+00
   226   0.26668000E+04   0.1717506288560E+00   0.7419813584156E-02   0.1643308152718E+00
   227   0.26786000E+04   0.1720483098335E+00   0.7389232183125E-02   0.1646590776503E+00
   228   0.26904000E+04   0.1723452961245E+00   0.7358908110361E-02   0.1649863880141E+00
   229   0.27022000E+04   0.1726415906203E+00   0.7328838165118E-02   0.1653127524552E+00
   230   0.27140000E+04   0.1729371952988E+00   0.7299019080152E-02   0.1656381762186E+00
   231   0.27258000E+04   0.1732321145494E+00   0.7269447820463E-02   0.1659626667290E+00
   232   0.27376000E+04   0.1735263488322E+00   0.7240121086546E-02   0.1662862277456E+00
   233   0.27494000E+04   0.1738199017943E+00   0.7211035925205E-02   0.1666088658691E+00
   234   0.27612000E+04   0.1741127757380E+00   0.7182189355730E-02   0.1669305863823E+00
   235   0.27730000E+04   0.1744049734241E+00   0.7153578582067E-02   0.1672513948420E+00
   236   0.27848000E+04   0.1746964963821E+00   0.7125200388222E-02   0.1675712959938E+00
   237   0.27966000E+04   0.1749873487879E+00   0.7097052165787E-02   0.1678902966221E+00
   238   0.28084000E+04   0.1752775309995E+00   0.7069130972920E-02   0.1682084000266E+00
   239   0.28202000E+04   0.1755670479607E+00   0.7041434101395E-02   0.1685256138593E+00
   240   0.28320000E+04   0.1758558997667E+00   0.7013958755207E-02   0.1688419410115E+00
   241   0.28438000E+04   0.1761440909408E+00   0.6986702540077E-02   0.1691573884007E+00
   242   0.28556000E+04   0.1764316230128E+00   0.6959662419500E-02   0.1694719605933E+00
   243   0.28674000E+04   0.1767184972966E+00   0.6932836005358E-02   0.1697856612912E+00
   244   0.28792000E+04   0.1770047183813E+00   0.6906220814356E-02   0.1700984975670E+00
   245   0.28910000E+04   0.1772902879532E+00   0.6879814331725E-02   0.1704104736215E+00
   246   0.29028000E+04   0.1775752072067E+00   0.6853613976787E-02   0.1707215932299E+00
   247   0.29146000E+04   0.1778594801447E+00   0.6827617361506E-02   0.1710318627832E+00
   248   0.29264000E+04   0.1781431087249E+00   0.6801822057502E-02   0.1713412866674E+00
   249   0.29382000E+04   0.1784260952460E+00   0.6776225861637E-02   0.1716498693844E+00
   250   0.29500000E+04   0.1787084416572E+00   0.6750826398820E-02   0.1719576152584E+00
   251   0.29618000E+04   0.1789901507075E+00   0.6725621316611E-02   0.1722645293909E+00
   252   0.29736000E+04   0.1792712250674E+00   0.6700608370448E-02   0.1725706166969E+00
   253   0.29854000E+04   0.1795516664532E+00   0.6675785396107E-02   0.1728758810571E+00
   254   0.29972000E+04   0.1798314775196E+00   0.6651150272649E-02   0.1731803272470E+00
   255   0.30090000E+04   0.1801106609496E+00   0.6626700833497E-02   0.1734839601161E+00
   256   0.30208000E+04   0.1803892189144E+00   0.6602434909505E-02   0.1737867840049E+00
   257   0.30326000E+04   0.1806671533873E+00   0.6578350394126E-02   0.1740888029932E+00
   258   0.30444000E+04   0.1809444666085E+00   0.6554445314680E-02   0.1743900212938E+00
   259   0.30562000E+04   0.1812211611791E+00   0.6530717625875E-02   0.1746904435532E+00
   260   0.30680000E+04   0.1814972396176E+00   0.6507165485317E-02   0.1749900741323E+00
   261   0.30798000E+04   0.1817727033537E+00   0.6483786715574E-02   0.1752889166381E+00
   262   0.30916000E+04   0.1820475559646E+00   0.6460579455625E-02   0.1755869765090E+00
   263   0.31034000E+04   0.1823217983314E+00   0.6437541815711E-02   0.1758842565157E+00
   264   0.31152000E+04   0.1825954332199E+00   0.6414672001203E-02   0.1761807612186E+00
   265   0.31270000E+04   0.1828684632286E+00   0.6391968048073E-02   0.1764764951805E+00
   266   0.31388000E+04   0.1831408905666E+00   0.6369428236250E-02   0.1767714623303E+00
   267   0.31506000E+04   0.1834127171233E+00   0.6347050794900E-02   0.1770656663284E+00
   268   0.31624000E+04   0.1836839445440E+00   0.6324833940269E-02   0.1773591106037E+00
   269   0.31742000E+04   0.1839544989175E+00   0.6302775879940E-02   0.1776517230376E+00
   270   0.31860000E+04   0.1842245363109E+00   0.6280874793682E-02   0.1779436615172E+00
   271   0.31978000E+04   0.1844939818136E+00   0.6259129306461E-02   0.1782348525072E+00
   272   0.32096000E+04   0.1847628373827E+00   0.6237537519119E-02   0.1785252998636E+00
   273   0.32214000E+04   0.1850311051321E+00   0.6216097813461E-02   0.1788150073187E+00
   274   0.32332000E+04   0.1852987871778E+00   0.6194808615832E-02   0.1791039785620E+00
   275   0.32450000E+04   0.1855658859644E+00   0.6173668389123E-02   0.1793922175752E+00
   276   0.32568000E+04   0.1858324039397E+00   0.6152675446348E-02   0.1796797284933E+00
   277   0.32686000E+04   0.1860983419351E+00   0.6131828293781E-02   0.1799665136413E+00
   278   0.32804000E+04   0.1863637028110E+00   0.6111125454505E-02   0.1802525773565E+00
   279   0.32922000E+04   0.1866284889316E+00   0.6090565344803E-02   0.1805379235868E+00
   280   0.33040000E+04   0.1868927024608E+00   0.6070146468907E-02   0.1808225559919E+00
   281   0.33158000E+04   0.1871563450025E+00   0.6049867466070E-02   0.1811064775365E+00
   282   0.33276000E+04   0.1874194187138E+00   0.6029726813108E-02   0.1813896919007E+00
   283   0.33394000E+04   0.1876819256403E+00   0.6009723074406E-02   0.1816722025659E+00
   284   0.33512000E+04   0.1879438681068E+00   0.5989854955680E-02   0.1819540131511E+00
   285   0.33630000E+04   0.1882052474072E+00   0.5970120902201E-02   0.1822351265050E+00
