#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.0000D+00  0.0000D+00
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3728D-02  0.1522D-02  0.9524D-01  0.3563D-02
# ab  =  0.1607D+00  0.5900D+03  0.8850D+03
# etab=  0.3359D+00  0.3359D+00  0.3359D+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
    37   0.43660000E+03   0.7229234207448E-01   0.1068609391300E-01   0.6160624816148E-01
    38   0.44840000E+03   0.7286769976635E-01   0.1043317504842E-01   0.6243452471794E-01
    39   0.46020000E+03   0.7344365983807E-01   0.1019239838091E-01   0.6325126145716E-01
    40   0.47200000E+03   0.7401979689139E-01   0.9962897745670E-02   0.6405689914572E-01
    41   0.48380000E+03   0.7459574089839E-01   0.9743886023211E-02   0.6485185487518E-01
    42   0.49560000E+03   0.7517116243727E-01   0.9534648615848E-02   0.6563651382142E-01
    43   0.50740000E+03   0.7574577737572E-01   0.9334534869590E-02   0.6641124250613E-01
    44   0.51920000E+03   0.7631933777340E-01   0.9142952134697E-02   0.6717638563870E-01
    45   0.53100000E+03   0.7689162546925E-01   0.8959357027525E-02   0.6793226844173E-01
    46   0.54280000E+03   0.7746245005948E-01   0.8783252678797E-02   0.6867919738068E-01
    47   0.55460000E+03   0.7803164472046E-01   0.8614183627233E-02   0.6941746109323E-01
    48   0.56640000E+03   0.7859906348535E-01   0.8451728540323E-02   0.7014733494503E-01
    49   0.57820000E+03   0.7916454909010E-01   0.8295502295360E-02   0.7086904679474E-01
    50   0.59000000E+03   0.7972805316311E-01   0.8145147190613E-02   0.7158290597249E-01
    51   0.60180000E+03   0.8028944902541E-01   0.8000333764107E-02   0.7228911526131E-01
    52   0.61360000E+03   0.8084865328809E-01   0.7860755910117E-02   0.7298789737798E-01
    53   0.62540000E+03   0.8140559617632E-01   0.7726131128616E-02   0.7367946504770E-01
    54   0.63720000E+03   0.8196021544279E-01   0.7596195802257E-02   0.7436401964053E-01
    55   0.64900000E+03   0.8251246013873E-01   0.7470706780734E-02   0.7504175335800E-01
    56   0.66080000E+03   0.8306228546552E-01   0.7349435094862E-02   0.7571285037066E-01
    57   0.67260000E+03   0.8360965551850E-01   0.7232168727919E-02   0.7637748679058E-01
    58   0.68440000E+03   0.8415453948716E-01   0.7118709741996E-02   0.7703582974517E-01
    59   0.69620000E+03   0.8469691336404E-01   0.7008873514722E-02   0.7768803984932E-01
    60   0.70800000E+03   0.8523675713996E-01   0.6902486240315E-02   0.7833427089965E-01
    61   0.71980000E+03   0.8577405649292E-01   0.6799386211775E-02   0.7897467028114E-01
    62   0.73160000E+03   0.8630880072556E-01   0.6699420704595E-02   0.7960938002097E-01
    63   0.74340000E+03   0.8684098139150E-01   0.6602446170700E-02   0.8023853522080E-01
    64   0.75520000E+03   0.8737059578534E-01   0.6508330002747E-02   0.8086226578259E-01
    65   0.76700000E+03   0.8789764252781E-01   0.6416945321144E-02   0.8148069720667E-01
    66   0.77880000E+03   0.8842212218374E-01   0.6328172686420E-02   0.8209394949732E-01
    67   0.79060000E+03   0.8894404014321E-01   0.6241900699482E-02   0.8270213944372E-01
    68   0.80240000E+03   0.8946340169148E-01   0.6158024687134E-02   0.8330537700434E-01
    69   0.81420000E+03   0.8998021385275E-01   0.6076442975774E-02   0.8390377087698E-01
    70   0.82600000E+03   0.9049448527556E-01   0.5997061397132E-02   0.8449742387843E-01
    71   0.83780000E+03   0.9100622853958E-01   0.5919792741382E-02   0.8508643579820E-01
    72   0.84960000E+03   0.9151545468582E-01   0.5844551769182E-02   0.8567090291664E-01
    73   0.86140000E+03   0.9202217619885E-01   0.5771258025526E-02   0.8625091817333E-01
    74   0.87320000E+03   0.9252640779459E-01   0.5699836462052E-02   0.8682657133254E-01
    75   0.88500000E+03   0.9302816559888E-01   0.5630215840830E-02   0.8739794975805E-01
    76   0.89680000E+03   0.9352746299982E-01   0.5562326573888E-02   0.8796513642593E-01
    77   0.90860000E+03   0.9402431789965E-01   0.5496105228679E-02   0.8852821267097E-01
    78   0.92040000E+03   0.9451874712532E-01   0.5431489932555E-02   0.8908725719276E-01
    79   0.93220000E+03   0.9501076777352E-01   0.5368421902277E-02   0.8964234587124E-01
    80   0.94400000E+03   0.9550039756506E-01   0.5306845604345E-02   0.9019355196072E-01
    81   0.95580000E+03   0.9598765548908E-01   0.5246708452906E-02   0.9074094703617E-01
    82   0.96760000E+03   0.9647255993088E-01   0.5187960060982E-02   0.9128459986990E-01
    83   0.97940000E+03   0.9695512886141E-01   0.5130551119164E-02   0.9182457774224E-01
    84   0.99120000E+03   0.9743538309992E-01   0.5074437409760E-02   0.9236094569016E-01
    85   0.10030000E+04   0.9791333988917E-01   0.5019573362997E-02   0.9289376652617E-01
    86   0.10148000E+04   0.9838901953028E-01   0.4965918308474E-02   0.9342310122180E-01
    87   0.10266000E+04   0.9886244215036E-01   0.4913432144845E-02   0.9394901000552E-01
    88   0.10384000E+04   0.9933362581351E-01   0.4862076174288E-02   0.9447154963922E-01
    89   0.10502000E+04   0.9980259069278E-01   0.4811813753100E-02   0.9499077693968E-01
    90   0.10620000E+04   0.1002693558552E+00   0.4762610157967E-02   0.9550674569727E-01
    91   0.10738000E+04   0.1007339418513E+00   0.4714432207627E-02   0.9601950964369E-01
    92   0.10856000E+04   0.1011963666093E+00   0.4667246633204E-02   0.9652911997609E-01
    93   0.10974000E+04   0.1016566513976E+00   0.4621024536770E-02   0.9703562686080E-01
    94   0.11092000E+04   0.1021148134581E+00   0.4575734338101E-02   0.9753907912004E-01
    95   0.11210000E+04   0.1025708738931E+00   0.4531349606277E-02   0.9803952428687E-01
    96   0.11328000E+04   0.1030248505272E+00   0.4487841531570E-02   0.9853700899565E-01
    97   0.11446000E+04   0.1034767630092E+00   0.4445185371936E-02   0.9903157763729E-01
    98   0.11564000E+04   0.1039266303915E+00   0.4403355552981E-02   0.9952327483851E-01
    99   0.11682000E+04   0.1043744702665E+00   0.4362327538976E-02   0.1000121427276E+00
   100   0.11800000E+04   0.1048203026265E+00   0.4322078686521E-02   0.1004982239400E+00
   101   0.11918000E+04   0.1052641455926E+00   0.4282587505969E-02   0.1009815580867E+00
   102   0.12036000E+04   0.1057060168286E+00   0.4243831068018E-02   0.1014621857606E+00
   103   0.12154000E+04   0.1061459348911E+00   0.4205789533626E-02   0.1019401453574E+00
   104   0.12272000E+04   0.1065839179779E+00   0.4168443095109E-02   0.1024154748827E+00
   105   0.12390000E+04   0.1070199839451E+00   0.4131773110652E-02   0.1028882108344E+00
   106   0.12508000E+04   0.1074541496846E+00   0.4095760240949E-02   0.1033583894437E+00
   107   0.12626000E+04   0.1078864333176E+00   0.4060387224698E-02   0.1038260460929E+00
   108   0.12744000E+04   0.1083168517000E+00   0.4025636946628E-02   0.1042912147534E+00
   109   0.12862000E+04   0.1087454226800E+00   0.3991492953012E-02   0.1047539297270E+00
   110   0.12980000E+04   0.1091721620975E+00   0.3957939318168E-02   0.1052142227793E+00
   111   0.13098000E+04   0.1095970871880E+00   0.3924960678406E-02   0.1056721265096E+00
   112   0.13216000E+04   0.1100202150266E+00   0.3892542234377E-02   0.1061276727922E+00
   113   0.13334000E+04   0.1104415315524E+00   0.3860669187402E-02   0.1065808623650E+00
   114   0.13452000E+04   0.1108611125768E+00   0.3829328661201E-02   0.1070317839156E+00
   115   0.13570000E+04   0.1112789438019E+00   0.3798506821247E-02   0.1074804369806E+00
   116   0.13688000E+04   0.1116950420227E+00   0.3768190737248E-02   0.1079268512854E+00
   117   0.13806000E+04   0.1121094223704E+00   0.3738367958145E-02   0.1083710544123E+00
   118   0.13924000E+04   0.1125220993304E+00   0.3709025661250E-02   0.1088130736692E+00
   119   0.14042000E+04   0.1129330896639E+00   0.3680153623053E-02   0.1092529360409E+00
   120   0.14160000E+04   0.1133424079390E+00   0.3651739802087E-02   0.1096906681369E+00
   121   0.14278000E+04   0.1137500689699E+00   0.3623772826164E-02   0.1101262961437E+00
   122   0.14396000E+04   0.1141560867624E+00   0.3596242533271E-02   0.1105598442291E+00
   123   0.14514000E+04   0.1145604770411E+00   0.3569139127743E-02   0.1109913379134E+00
   124   0.14632000E+04   0.1149632533462E+00   0.3542451509465E-02   0.1114208018367E+00
   125   0.14750000E+04   0.1153644304463E+00   0.3516171456195E-02   0.1118482589901E+00
   126   0.14868000E+04   0.1157640214782E+00   0.3490288478989E-02   0.1122737329992E+00
   127   0.14986000E+04   0.1161620405433E+00   0.3464793998428E-02   0.1126972465449E+00
   128   0.15104000E+04   0.1165585023653E+00   0.3439679657861E-02   0.1131188227074E+00
   129   0.15222000E+04   0.1169534185031E+00   0.3414935820836E-02   0.1135384826823E+00
   130   0.15340000E+04   0.1173468039351E+00   0.3390555602568E-02   0.1139562483326E+00
   131   0.15458000E+04   0.1177386709996E+00   0.3366529891900E-02   0.1143721411077E+00
   132   0.15576000E+04   0.1181290323033E+00   0.3342851321052E-02   0.1147861809822E+00
   133   0.15694000E+04   0.1185179013818E+00   0.3319512110025E-02   0.1151983892718E+00
   134   0.15812000E+04   0.1189052910372E+00   0.3296505849174E-02   0.1156087851880E+00
   135   0.15930000E+04   0.1192912129595E+00   0.3273824316230E-02   0.1160173886433E+00
   136   0.16048000E+04   0.1196756801861E+00   0.3251461000618E-02   0.1164242191855E+00
   137   0.16166000E+04   0.1200587043911E+00   0.3229408963525E-02   0.1168292954276E+00
   138   0.16284000E+04   0.1204402980982E+00   0.3207662164046E-02   0.1172326359342E+00
   139   0.16402000E+04   0.1208204724715E+00   0.3186213996532E-02   0.1176342584750E+00
   140   0.16520000E+04   0.1211992399193E+00   0.3165058032842E-02   0.1180341818864E+00
   141   0.16638000E+04   0.1215766120837E+00   0.3144188786168E-02   0.1184324232975E+00
   142   0.16756000E+04   0.1219526001494E+00   0.3123600156700E-02   0.1188289999927E+00
   143   0.16874000E+04   0.1223272151679E+00   0.3103286211965E-02   0.1192239289559E+00
   144   0.16992000E+04   0.1227004688139E+00   0.3083241934901E-02   0.1196172268790E+00
   145   0.17110000E+04   0.1230723715723E+00   0.3063461688970E-02   0.1200089098833E+00
   146   0.17228000E+04   0.1234429346595E+00   0.3043939997209E-02   0.1203989946623E+00
   147   0.17346000E+04   0.1238121690345E+00   0.3024672249670E-02   0.1207874967848E+00
   148   0.17464000E+04   0.1241800850585E+00   0.3005653221037E-02   0.1211744318375E+00
   149   0.17582000E+04   0.1245466930152E+00   0.2986877866400E-02   0.1215598151488E+00
   150   0.17700000E+04   0.1249120033384E+00   0.2968341546454E-02   0.1219436617919E+00
   151   0.17818000E+04   0.1252760268633E+00   0.2950039993053E-02   0.1223259868703E+00
   152   0.17936000E+04   0.1256387732225E+00   0.2931968811145E-02   0.1227068044113E+00
   153   0.18054000E+04   0.1260002524361E+00   0.2914123395618E-02   0.1230861290405E+00
   154   0.18172000E+04   0.1263604741561E+00   0.2896499281518E-02   0.1234639748746E+00
   155   0.18290000E+04   0.1267194482037E+00   0.2879092400373E-02   0.1238403558033E+00
   156   0.18408000E+04   0.1270771845152E+00   0.2861899019615E-02   0.1242152854956E+00
   157   0.18526000E+04   0.1274336931379E+00   0.2844915296598E-02   0.1245887778413E+00
   158   0.18644000E+04   0.1277889823561E+00   0.2828137146743E-02   0.1249608452093E+00
   159   0.18762000E+04   0.1281430616605E+00   0.2811560587663E-02   0.1253315010729E+00
   160   0.18880000E+04   0.1284959403088E+00   0.2795182042988E-02   0.1257007582658E+00
   161   0.18998000E+04   0.1288476279369E+00   0.2778998244132E-02   0.1260686296928E+00
   162   0.19116000E+04   0.1291981329546E+00   0.2763005427005E-02   0.1264351275276E+00
   163   0.19234000E+04   0.1295474301166E+00   0.2747200486663E-02   0.1268002296299E+00
   164   0.19352000E+04   0.1298955966846E+00   0.2731580182298E-02   0.1271640165023E+00
   165   0.19470000E+04   0.1302426068465E+00   0.2716140426522E-02   0.1275264664200E+00
   166   0.19588000E+04   0.1305884695253E+00   0.2700879283111E-02   0.1278875902422E+00
   167   0.19706000E+04   0.1309331926282E+00   0.2685792432001E-02   0.1282474001962E+00
   168   0.19824000E+04   0.1312767852061E+00   0.2670878085371E-02   0.1286059071207E+00
   169   0.19942000E+04   0.1316192554254E+00   0.2656132681822E-02   0.1289631227435E+00
   170   0.20060000E+04   0.1319606102959E+00   0.2641552719567E-02   0.1293190575764E+00
   171   0.20178000E+04   0.1323008597935E+00   0.2627136614996E-02   0.1296737231785E+00
   172   0.20296000E+04   0.1326400098311E+00   0.2612880395864E-02   0.1300271294352E+00
   173   0.20414000E+04   0.1329780701709E+00   0.2598782577852E-02   0.1303792875930E+00
   174   0.20532000E+04   0.1333150471363E+00   0.2584839327040E-02   0.1307302078092E+00
   175   0.20650000E+04   0.1336509497814E+00   0.2571049271382E-02   0.1310799005100E+00
   176   0.20768000E+04   0.1339857839379E+00   0.2557408683629E-02   0.1314283752543E+00
   177   0.20886000E+04   0.1343195584345E+00   0.2543915735120E-02   0.1317756426994E+00
   178   0.21004000E+04   0.1346522810213E+00   0.2530568587684E-02   0.1321217124336E+00
   179   0.21122000E+04   0.1349839576261E+00   0.2517363712681E-02   0.1324665939134E+00
   180   0.21240000E+04   0.1353145973611E+00   0.2504299981394E-02   0.1328102973797E+00
   181   0.21358000E+04   0.1356442056841E+00   0.2491373965442E-02   0.1331528317187E+00
   182   0.21476000E+04   0.1359727906708E+00   0.2478584268330E-02   0.1334942064025E+00
   183   0.21594000E+04   0.1363003594216E+00   0.2465928646004E-02   0.1338344307756E+00
   184   0.21712000E+04   0.1366269180675E+00   0.2453404713305E-02   0.1341735133542E+00
   185   0.21830000E+04   0.1369524746770E+00   0.2441010683338E-02   0.1345114639937E+00
   186   0.21948000E+04   0.1372770347600E+00   0.2428744240301E-02   0.1348482905197E+00
   187   0.22066000E+04   0.1374310087846E+00   0.2416603323405E-02   0.1350144054612E+00
   188   0.22184000E+04   0.1377513581191E+00   0.2404586797673E-02   0.1353467713214E+00
   189   0.22302000E+04   0.1380707134040E+00   0.2392691600084E-02   0.1356780218039E+00
   190   0.22420000E+04   0.1383890818393E+00   0.2380916447454E-02   0.1360081653918E+00
   191   0.22538000E+04   0.1387064697409E+00   0.2369259726862E-02   0.1363372100141E+00
   192   0.22656000E+04   0.1390228835173E+00   0.2357719577229E-02   0.1366651639401E+00
   193   0.22774000E+04   0.1393383292971E+00   0.2346293963311E-02   0.1369920353338E+00
   194   0.22892000E+04   0.1396528128998E+00   0.2334981085891E-02   0.1373178318139E+00
   195   0.23010000E+04   0.1399663408444E+00   0.2323779501367E-02   0.1376425613430E+00
   196   0.23128000E+04   0.1402789198875E+00   0.2312688105010E-02   0.1379662317825E+00
   197   0.23246000E+04   0.1405905546172E+00   0.2301704159155E-02   0.1382888504580E+00
   198   0.23364000E+04   0.1409012518928E+00   0.2290826853024E-02   0.1386104250398E+00
   199   0.23482000E+04   0.1412110176651E+00   0.2280054561973E-02   0.1389309631032E+00
   200   0.23600000E+04   0.1415198571772E+00   0.2269385481221E-02   0.1392504716959E+00
   201   0.23718000E+04   0.1418277762585E+00   0.2258818046756E-02   0.1395689582118E+00
   202   0.23836000E+04   0.1421347809505E+00   0.2248350996506E-02   0.1398864299540E+00
   203   0.23954000E+04   0.1424408770649E+00   0.2237983118068E-02   0.1402028939469E+00
   204   0.24072000E+04   0.1427460695651E+00   0.2227712579863E-02   0.1405183569852E+00
   205   0.24190000E+04   0.1430503641293E+00   0.2217538204391E-02   0.1408328259249E+00
   206   0.24308000E+04   0.1433537665594E+00   0.2207458829997E-02   0.1411463077294E+00
   207   0.24426000E+04   0.1436562823551E+00   0.2197473074707E-02   0.1414588092804E+00
   208   0.24544000E+04   0.1439579165408E+00   0.2187579352631E-02   0.1417703371882E+00
   209   0.24662000E+04   0.1442586741562E+00   0.2177776312688E-02   0.1420808978435E+00
   210   0.24780000E+04   0.1445585606043E+00   0.2168062901290E-02   0.1423904977030E+00
   211   0.24898000E+04   0.1448575814227E+00   0.2158438087221E-02   0.1426991433355E+00
   212   0.25016000E+04   0.1451557414883E+00   0.2148900254380E-02   0.1430068412339E+00
   213   0.25134000E+04   0.1454530460421E+00   0.2139448412951E-02   0.1433135976291E+00
   214   0.25252000E+04   0.1457495001219E+00   0.2130081582057E-02   0.1436194185398E+00
   215   0.25370000E+04   0.1460451088643E+00   0.2120798575209E-02   0.1439243102891E+00
   216   0.25488000E+04   0.1463398767407E+00   0.2111597985561E-02   0.1442282787551E+00
   217   0.25606000E+04   0.1466338085259E+00   0.2102478637160E-02   0.1445313298887E+00
   218   0.25724000E+04   0.1469269094036E+00   0.2093439645548E-02   0.1448334697581E+00
   219   0.25842000E+04   0.1472191847407E+00   0.2084480146796E-02   0.1451347045939E+00
   220   0.25960000E+04   0.1475106381442E+00   0.2075598690325E-02   0.1454350394539E+00
   221   0.26078000E+04   0.1478012750228E+00   0.2066794445572E-02   0.1457344805772E+00
   222   0.26196000E+04   0.1480911001871E+00   0.2058066601947E-02   0.1460330335852E+00
   223   0.26314000E+04   0.1483801176595E+00   0.2049413759801E-02   0.1463307038997E+00
   224   0.26432000E+04   0.1486683324030E+00   0.2040835154764E-02   0.1466274972482E+00
   225   0.26550000E+04   0.1489557489502E+00   0.2032330018877E-02   0.1469234189313E+00
   226   0.26668000E+04   0.1492423715691E+00   0.2023897014446E-02   0.1472184745546E+00
   227   0.26786000E+04   0.1495282047108E+00   0.2015535409575E-02   0.1475126693012E+00
   228   0.26904000E+04   0.1498132531509E+00   0.2007244491453E-02   0.1478060086595E+00
   229   0.27022000E+04   0.1500975206625E+00   0.1999022964612E-02   0.1480984976979E+00
   230   0.27140000E+04   0.1503810117245E+00   0.1990870157807E-02   0.1483901415667E+00
   231   0.27258000E+04   0.1506637312941E+00   0.1982785395517E-02   0.1486809458986E+00
   232   0.27376000E+04   0.1509456824947E+00   0.1974767436060E-02   0.1489709150586E+00
   233   0.27494000E+04   0.1512268704304E+00   0.1966815635657E-02   0.1492600547948E+00
   234   0.27612000E+04   0.1515072987376E+00   0.1958929369004E-02   0.1495483693686E+00
   235   0.27730000E+04   0.1517869715359E+00   0.1951107115888E-02   0.1498358644200E+00
   236   0.27848000E+04   0.1520658933462E+00   0.1943349235797E-02   0.1501225441104E+00
   237   0.27966000E+04   0.1523440681561E+00   0.1935654181231E-02   0.1504084139749E+00
   238   0.28084000E+04   0.1526214988559E+00   0.1928020778985E-02   0.1506934780770E+00
   239   0.28202000E+04   0.1528981913041E+00   0.1920449453170E-02   0.1509777418509E+00
   240   0.28320000E+04   0.1531741476542E+00   0.1912938168225E-02   0.1512612094860E+00
   241   0.28438000E+04   0.1534493729914E+00   0.1905487335461E-02   0.1515438856560E+00
   242   0.28556000E+04   0.1537238706579E+00   0.1898095539157E-02   0.1518257751187E+00
   243   0.28674000E+04   0.1539976444898E+00   0.1890762255640E-02   0.1521068822342E+00
   244   0.28792000E+04   0.1542706986467E+00   0.1883486978976E-02   0.1523872116678E+00
   245   0.28910000E+04   0.1545430363324E+00   0.1876268642869E-02   0.1526667676895E+00
   246   0.29028000E+04   0.1548146616329E+00   0.1869106758093E-02   0.1529455548748E+00
   247   0.29146000E+04   0.1550855782594E+00   0.1862000853144E-02   0.1532235774063E+00
   248   0.29264000E+04   0.1553557893388E+00   0.1854949567216E-02   0.1535008397716E+00
   249   0.29382000E+04   0.1556252993789E+00   0.1847953093612E-02   0.1537773462853E+00
   250   0.29500000E+04   0.1558941111727E+00   0.1841010471337E-02   0.1540531007013E+00
   251   0.29618000E+04   0.1561622291635E+00   0.1834121264512E-02   0.1543281078989E+00
   252   0.29736000E+04   0.1564296561655E+00   0.1827284485664E-02   0.1546023716798E+00
   253   0.29854000E+04   0.1566963957350E+00   0.1820499712490E-02   0.1548758960225E+00
   254   0.29972000E+04   0.1569624510844E+00   0.1813766046183E-02   0.1551486850382E+00
   255   0.30090000E+04   0.1572278266113E+00   0.1807083684490E-02   0.1554207429268E+00
   256   0.30208000E+04   0.1574925249027E+00   0.1800451394836E-02   0.1556920735078E+00
   257   0.30326000E+04   0.1577565496831E+00   0.1793868779481E-02   0.1559626809036E+00
   258   0.30444000E+04   0.1580199045361E+00   0.1787335465270E-02   0.1562325690708E+00
   259   0.30562000E+04   0.1582825919829E+00   0.1780850223869E-02   0.1565017417590E+00
   260   0.30680000E+04   0.1585446162941E+00   0.1774413612044E-02   0.1567702026820E+00
   261   0.30798000E+04   0.1588059795609E+00   0.1768023872985E-02   0.1570379556879E+00
   262   0.30916000E+04   0.1590666862907E+00   0.1761681575335E-02   0.1573050047153E+00
   263   0.31034000E+04   0.1593267388616E+00   0.1755385531852E-02   0.1575713533297E+00
   264   0.31152000E+04   0.1595861408079E+00   0.1749135408563E-02   0.1578370053993E+00
   265   0.31270000E+04   0.1598448950344E+00   0.1742930403333E-02   0.1581019646311E+00
   266   0.31388000E+04   0.1601030053160E+00   0.1736770785653E-02   0.1583662345304E+00
   267   0.31506000E+04   0.1603604740021E+00   0.1730655430912E-02   0.1586298185712E+00
   268   0.31624000E+04   0.1606173043820E+00   0.1724584020573E-02   0.1588927203615E+00
   269   0.31742000E+04   0.1608734317934E+00   0.1718555784891E-02   0.1591548760085E+00
   270   0.31860000E+04   0.1611289951695E+00   0.1712571023706E-02   0.1594164241458E+00
   271   0.31978000E+04   0.1613839292459E+00   0.1706628625509E-02   0.1596773006204E+00
   272   0.32096000E+04   0.1616382370548E+00   0.1700728308179E-02   0.1599375087466E+00
   273   0.32214000E+04   0.1618919217815E+00   0.1694869807150E-02   0.1601970519743E+00
   274   0.32332000E+04   0.1621449858608E+00   0.1689052014414E-02   0.1604559338464E+00
   275   0.32450000E+04   0.1623974330285E+00   0.1683275277436E-02   0.1607141577510E+00
   276   0.32568000E+04   0.1626492657443E+00   0.1677538862164E-02   0.1609717268821E+00
   277   0.32686000E+04   0.1629004864602E+00   0.1671842054960E-02   0.1612286444053E+00
   278   0.32804000E+04   0.1631510988096E+00   0.1666185188011E-02   0.1614849136216E+00
   279   0.32922000E+04   0.1634011051500E+00   0.1660567223324E-02   0.1617405379267E+00
   280   0.33040000E+04   0.1636505084819E+00   0.1654987918324E-02   0.1619955205636E+00
   281   0.33158000E+04   0.1638993111683E+00   0.1649446583481E-02   0.1622498645848E+00
   282   0.33276000E+04   0.1641475165946E+00   0.1643943578392E-02   0.1625035730162E+00
   283   0.33394000E+04   0.1643951270982E+00   0.1638477875704E-02   0.1627566492225E+00
   284   0.33512000E+04   0.1646421454365E+00   0.1633049261198E-02   0.1630090961753E+00
   285   0.33630000E+04   0.1648885738877E+00   0.1627657067040E-02   0.1632609168206E+00
   286   0.33748000E+04   0.1651344159076E+00   0.1622301667056E-02   0.1635121142406E+00
   287   0.33866000E+04   0.1653796733906E+00   0.1616981778043E-02   0.1637626916126E+00
