#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1000D+26   0.5000D+25  0.0000D+00  0.0000D+00
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3728D-02  0.1522D-02  0.9524D-01  0.3563D-02
# ab  =  0.1607D+00  0.5900D+03  0.8850D+03
# etab=  0.3359D+00  0.3359D+00  0.3359D+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.1565621654221E+03  -0.1525494958702E+03  -0.4012669551937E+01
     1   0.11800000E+02   0.1355541368255E+00   0.1292353360482E+00   0.6318800777341E-02
     2   0.23600000E+02   0.1257966959123E+00   0.1138593951681E+00   0.1193730074416E-01
     3   0.35400000E+02   0.1049590288743E+00   0.8918658721198E-01   0.1577244166234E-01
     4   0.47200000E+02   0.9087805012553E-01   0.7204170502117E-01   0.1883634510436E-01
     5   0.59000000E+02   0.8178957171414E-01   0.6032803509472E-01   0.2146153661942E-01
     6   0.70800000E+02   0.7575103617879E-01   0.5195538322852E-01   0.2379565295028E-01
     7   0.82600000E+02   0.7160967672619E-01   0.4569142180160E-01   0.2591825492459E-01
     8   0.94400000E+02   0.6870620753764E-01   0.4082823163276E-01   0.2787797590487E-01
     9   0.10620000E+03   0.6664742756574E-01   0.3694026720014E-01   0.2970716036560E-01
    10   0.11800000E+03   0.6518684646502E-01   0.3375820979171E-01   0.3142863667331E-01
    11   0.12980000E+03   0.6416303132874E-01   0.3110379017398E-01   0.3305924115477E-01
    12   0.14160000E+03   0.6346584106270E-01   0.2885403177356E-01   0.3461180928914E-01
    13   0.15340000E+03   0.6301819329529E-01   0.2692177131791E-01   0.3609642197739E-01
    14   0.16520000E+03   0.6276429360837E-01   0.2524327043611E-01   0.3752102317226E-01
    15   0.17700000E+03   0.6266321157745E-01   0.2377088128822E-01   0.3889233028924E-01
    16   0.18880000E+03   0.6268182301235E-01   0.2246603117374E-01   0.4021579183861E-01
    17   0.20060000E+03   0.6280116717318E-01   0.2130517927174E-01   0.4149598790144E-01
    18   0.21240000E+03   0.6300039295563E-01   0.2026358746876E-01   0.4273680548686E-01
    19   0.22420000E+03   0.6326505990591E-01   0.1932347811722E-01   0.4394158178869E-01
    20   0.23600000E+03   0.6358366670954E-01   0.1847046294429E-01   0.4511320376525E-01
    21   0.24780000E+03   0.6394696802943E-01   0.1769277641428E-01   0.4625419161514E-01
    22   0.25960000E+03   0.6434746243891E-01   0.1698070196384E-01   0.4736676047507E-01
    23   0.27140000E+03   0.6477900122731E-01   0.1632613431134E-01   0.4845286691597E-01
    24   0.28320000E+03   0.6523652093092E-01   0.1572226578512E-01   0.4951425514580E-01
    25   0.29500000E+03   0.6571580994714E-01   0.1516332835461E-01   0.5055248159254E-01
    26   0.30680000E+03   0.6621335202608E-01   0.1464440545821E-01   0.5156894656787E-01
    27   0.31860000E+03   0.6672619122537E-01   0.1416127842978E-01   0.5256491279559E-01
    28   0.33040000E+03   0.6725183002024E-01   0.1371030551628E-01   0.5354152450397E-01
    29   0.34220000E+03   0.6778815236704E-01   0.1328832839797E-01   0.5449982396907E-01
    30   0.35400000E+03   0.6833335182164E-01   0.1289259039282E-01   0.5544076142882E-01
    31   0.36580000E+03   0.6888588463461E-01   0.1252067834539E-01   0.5636520628922E-01
    32   0.37760000E+03   0.6944442640341E-01   0.1217046741322E-01   0.5727395899019E-01
    33   0.38940000E+03   0.7000783657491E-01   0.1184008130815E-01   0.5816775526676E-01
    34   0.40120000E+03   0.7057513060337E-01   0.1152785616529E-01   0.5904727443809E-01
    35   0.41300000E+03   0.7114545625506E-01   0.1123230855106E-01   0.5991314770399E-01
    36   0.42480000E+03   0.7171807468678E-01   0.1095211706719E-01   0.6076595761959E-01
