#     p=   0.1000000000000E+00
#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1029D+26   0.4902D+25  0.4902D+25  0.1029D+25
#    mass array mb         [amu]:   0.5486D-03   0.2015D+01  0.3022D+01  0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.1877D+07  0.2815D+07  0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01  0.1000D+01  0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3783D-02  0.2240D-02  0.9524D-01  0.3667D-02
# ab  =  0.1607E+00  0.5900E+03  0.8850E+03  0.2950E+03
# etab=  0.3359E+00  0.3359E+00  0.3359E+00  0.3359E+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.3377306232435E+03  -0.3338206376339E+03  -0.3909985609564E+01
     1   0.11800000E+02   0.2712564919002E+00   0.2648078809702E+00   0.6448610930026E-02
     2   0.23600000E+02   0.2386141284226E+00   0.2262249832229E+00   0.1238914519965E-01
     3   0.35400000E+02   0.1943924816241E+00   0.1780242761482E+00   0.1636820547583E-01
     4   0.47200000E+02   0.1643211933459E+00   0.1448020931387E+00   0.1951910020720E-01
     5   0.59000000E+02   0.1440593009050E+00   0.1218510288315E+00   0.2220827207342E-01
     6   0.70800000E+02   0.1298293844537E+00   0.1052346103475E+00   0.2459477410615E-01
     7   0.82600000E+02   0.1194549186626E+00   0.9269181852573E-01   0.2676310013682E-01
     8   0.94400000E+02   0.1116668310969E+00   0.8290252469789E-01   0.2876430639899E-01
     9   0.10620000E+03   0.1056841158806E+00   0.7505212619578E-01   0.3063198968482E-01
    10   0.11800000E+03   0.1010046241288E+00   0.6861494979391E-01   0.3238967433485E-01
    11   0.12980000E+03   0.9729090268531E-01   0.6323612667128E-01   0.3405477601403E-01
    12   0.14160000E+03   0.9431639521824E-01   0.5867596647308E-01   0.3564042874516E-01
    13   0.15340000E+03   0.9191386039691E-01   0.5475693934889E-01   0.3715692104802E-01
    14   0.16520000E+03   0.8996332078049E-01   0.5135097123332E-01   0.3861234954717E-01
    15   0.17700000E+03   0.8837564364746E-01   0.4836209743638E-01   0.4001354621108E-01
    16   0.18880000E+03   0.8708087038574E-01   0.4571481939113E-01   0.4136605099461E-01
    17   0.20060000E+03   0.8603125596925E-01   0.4335673620866E-01   0.4267451976059E-01
    18   0.21240000E+03   0.8518334307172E-01   0.4124044086812E-01   0.4394290220360E-01
    19   0.22420000E+03   0.8450455719724E-01   0.3932996950024E-01   0.4517458769700E-01
    20   0.23600000E+03   0.8396871937287E-01   0.3759620842513E-01   0.4637251094774E-01
    21   0.24780000E+03   0.8355457214287E-01   0.3601534093463E-01   0.4753923120825E-01
    22   0.25960000E+03   0.8324465753093E-01   0.3456765772827E-01   0.4867699980266E-01
    23   0.27140000E+03   0.8302454901471E-01   0.3323674432593E-01   0.4978780468878E-01
    24   0.28320000E+03   0.8288221284377E-01   0.3200879382803E-01   0.5087341901574E-01
    25   0.29500000E+03   0.8280753345748E-01   0.3087210883005E-01   0.5193542462743E-01
    26   0.30680000E+03   0.8279195330818E-01   0.2981671433528E-01   0.5297523897289E-01
    27   0.31860000E+03   0.8282818927814E-01   0.2883404894856E-01   0.5399414032957E-01
    28   0.33040000E+03   0.8291002758842E-01   0.2791672160796E-01   0.5499330598047E-01
    29   0.34220000E+03   0.8303211532188E-01   0.2705831937151E-01   0.5597379595037E-01
    30   0.35400000E+03   0.8318982395593E-01   0.2625324761285E-01   0.5693657634307E-01
    31   0.36580000E+03   0.8337873418133E-01   0.2549620141985E-01   0.5788253276148E-01
    32   0.37760000E+03   0.8359617488389E-01   0.2478369555415E-01   0.5881247932974E-01
    33   0.38940000E+03   0.8383865638744E-01   0.2411149191455E-01   0.5972716447289E-01
    34   0.40120000E+03   0.8410348952289E-01   0.2347620921198E-01   0.6062728031092E-01
    35   0.41300000E+03   0.8438830513226E-01   0.2287483618972E-01   0.6151346894254E-01
    36   0.42480000E+03   0.8469100962387E-01   0.2230468551671E-01   0.6238632410716E-01
    37   0.43660000E+03   0.8500974609428E-01   0.2176334658131E-01   0.6324639951297E-01
    38   0.44840000E+03   0.8534286430810E-01   0.2124865476559E-01   0.6409420954251E-01
    39   0.46020000E+03   0.8568889529692E-01   0.2075865763070E-01   0.6493023766621E-01
    40   0.47200000E+03   0.8604652416678E-01   0.2029159138839E-01   0.6575493277839E-01
    41   0.48380000E+03   0.8641457761193E-01   0.1984585771183E-01   0.6656871990011E-01
    42   0.49560000E+03   0.8679199605373E-01   0.1942000440675E-01   0.6737199164698E-01
    43   0.50740000E+03   0.8717783088665E-01   0.1901270952553E-01   0.6816512136112E-01
    44   0.51920000E+03   0.8757122661842E-01   0.1862276642392E-01   0.6894846019449E-01
    45   0.53100000E+03   0.8797141270141E-01   0.1824907242403E-01   0.6972234027738E-01
    46   0.54280000E+03   0.8837768989362E-01   0.1789061656286E-01   0.7048707333076E-01
    47   0.55460000E+03   0.8878942531438E-01   0.1754647116998E-01   0.7124295414440E-01
    48   0.56640000E+03   0.8920604631931E-01   0.1721578290869E-01   0.7199026341062E-01
    49   0.57820000E+03   0.8962699822913E-01   0.1689776549922E-01   0.7272923272991E-01
    50   0.59000000E+03   0.9005187236729E-01   0.1659169339853E-01   0.7346017896876E-01
    51   0.60180000E+03   0.9048020379210E-01   0.1629689567142E-01   0.7418330812068E-01
    52   0.61360000E+03   0.9091159859772E-01   0.1601275122377E-01   0.7489884737395E-01
    53   0.62540000E+03   0.9134569783084E-01   0.1573868418884E-01   0.7560701364200E-01
    54   0.63720000E+03   0.9178217289101E-01   0.1547415991970E-01   0.7630801297131E-01
    55   0.64900000E+03   0.9222072224312E-01   0.1521868148235E-01   0.7700204076077E-01
    56   0.66080000E+03   0.9266107029937E-01   0.1497178554359E-01   0.7768928475579E-01
    57   0.67260000E+03   0.9310296559246E-01   0.1473304007884E-01   0.7836992551361E-01
