#
#
#   Plasma Parameters
#    electron and ion temp [keV]:   0.3000D+01   0.3000D+01
#    number density nb   [cm^-3]:   0.1000D+26   0.1000D+26
#    mass array mb         [amu]:   0.5486D-03   0.1007D+01
#    mass array mb         [keV]:   0.5110D+03   0.9383D+06
#    charge array zb            :  -0.1000D+01   0.1000D+01
#
#
#   Projectile Parameters
#    charge      :   0.2000D+01
#    mass   [amu]:   0.4029D+01
#    mass   [keV]:   0.3753D+07
#    energy [keV]:   0.3540D+04
#  ne[cm^-3]    Te[keV]    Ti[keV]        ge       gi          etae         ze/2**1.5
#  0.1000D+26  0.3000D+01  0.3000D+01  0.3728D-02  0.3728D-02  0.9524D-01  0.3563D-02
# ab  =  0.1607D+00  0.2950D+03
# etab=  0.3359D+00  0.3359D+00
#    j    E_p [keV]       dedx_tot [MeV/mu-m]   dedx_i                dedx_e
     0   0.10000000E-04  -0.2215667746408E+03  -0.2177341765135E+03  -0.3832598127248E+01
     1   0.11800000E+02   0.2547847656914E+00   0.2487893511860E+00   0.5995414505400E-02
     2   0.23600000E+02   0.3109512886522E+00   0.2992306432931E+00   0.1172064535910E-01
     3   0.35400000E+02   0.2916186743962E+00   0.2757640550834E+00   0.1585461931280E-01
     4   0.47200000E+02   0.2601467670862E+00   0.2410244704232E+00   0.1912229666304E-01
     5   0.59000000E+02   0.2323126249382E+00   0.2104584491894E+00   0.2185417574883E-01
     6   0.70800000E+02   0.2096474013034E+00   0.1854096023001E+00   0.2423779900338E-01
     7   0.82600000E+02   0.1915561779592E+00   0.1651763599414E+00   0.2637981801786E-01
     8   0.94400000E+02   0.1771274131573E+00   0.1487838711796E+00   0.2834354197769E-01
     9   0.10620000E+03   0.1655147218311E+00   0.1353457980208E+00   0.3016892381030E-01
    10   0.11800000E+03   0.1560551808155E+00   0.1241724398103E+00   0.3188274100525E-01
    11   0.12980000E+03   0.1482556902815E+00   0.1147517855228E+00   0.3350390475874E-01
    12   0.14160000E+03   0.1417525815033E+00   0.1067062291272E+00   0.3504635237609E-01
    13   0.15340000E+03   0.1362766387626E+00   0.9975588268496E-01   0.3652075607763E-01
    14   0.16520000E+03   0.1316261187701E+00   0.9369063844570E-01   0.3793548032440E-01
    15   0.17700000E+03   0.1276476170544E+00   0.8835035584911E-01   0.3929726120525E-01
    16   0.18880000E+03   0.1242227807936E+00   0.8361115840314E-01   0.4061162239042E-01
    17   0.20060000E+03   0.1212589973618E+00   0.7937583100700E-01   0.4188316635478E-01
    18   0.21240000E+03   0.1186828608957E+00   0.7556708076746E-01   0.4311578012826E-01
    19   0.22420000E+03   0.1164354753057E+00   0.7212269063978E-01   0.4431278466591E-01
    20   0.23600000E+03   0.1144690777427E+00   0.6899203197560E-01   0.4547704576706E-01
    21   0.24780000E+03   0.1127446394455E+00   0.6613358128081E-01   0.4661105816473E-01
    22   0.25960000E+03   0.1112296319013E+00   0.6351262154996E-01   0.4771701035138E-01
    23   0.27140000E+03   0.1098971847197E+00   0.6110034935667E-01   0.4879683536299E-01
    24   0.28320000E+03   0.1087246600941E+00   0.5887240898104E-01   0.4985225111308E-01
    25   0.29500000E+03   0.1076929104322E+00   0.5680811764108E-01   0.5088479279109E-01
    26   0.30680000E+03   0.1067855729211E+00   0.5488979601557E-01   0.5189577690551E-01
    27   0.31860000E+03   0.1059886370591E+00   0.5310224442179E-01   0.5288639263730E-01
    28   0.33040000E+03   0.1052902081018E+00   0.5143231137445E-01   0.5385789672732E-01
    29   0.34220000E+03   0.1046798882431E+00   0.4986857200210E-01   0.5481131624098E-01
    30   0.35400000E+03   0.1041486280397E+00   0.4840104342558E-01   0.5574758461410E-01
    31   0.36580000E+03   0.1036846024256E+00   0.4701704684175E-01   0.5666755558380E-01
    32   0.37760000E+03   0.1032889340626E+00   0.4571691786353E-01   0.5757201619911E-01
    33   0.38940000E+03   0.1029513759633E+00   0.4448968165826E-01   0.5846169430508E-01
    34   0.40120000E+03   0.1026665285136E+00   0.4332927201370E-01   0.5933725649987E-01
    35   0.41300000E+03   0.1024296060501E+00   0.4223028332342E-01   0.6019932272668E-01
    36   0.42480000E+03   0.1022363521697E+00   0.4118788476645E-01   0.6104846740324E-01
    37   0.43660000E+03   0.1020829703299E+00   0.4019774237885E-01   0.6188522795100E-01
    38   0.44840000E+03   0.1019660558268E+00   0.3925595635263E-01   0.6271009947421E-01
    39   0.46020000E+03   0.1018825578912E+00   0.3835901008031E-01   0.6352354781089E-01
    40   0.47200000E+03   0.1018297357921E+00   0.3750372352550E-01   0.6432601226661E-01
    41   0.48380000E+03   0.1018051092692E+00   0.3668721153053E-01   0.6511789773866E-01
    42   0.49560000E+03   0.1018064427926E+00   0.3590685379329E-01   0.6589958899929E-01
    43   0.50740000E+03   0.1018317071623E+00   0.3516026191384E-01   0.6667144524844E-01
    44   0.51920000E+03   0.1018790595747E+00   0.3444525356984E-01   0.6743380600483E-01
    45   0.53100000E+03   0.1019468241541E+00   0.3375983352206E-01   0.6818699063208E-01
    46   0.54280000E+03   0.1020334765797E+00   0.3310217548945E-01   0.6893130109023E-01
    47   0.55460000E+03   0.1021376226227E+00   0.3247059690121E-01   0.6966702572145E-01
    48   0.56640000E+03   0.1022579882243E+00   0.3186355309130E-01   0.7039443513301E-01
    49   0.57820000E+03   0.1023933700848E+00   0.3127961760182E-01   0.7111375248295E-01
    50   0.59000000E+03   0.1025427597504E+00   0.3071747647668E-01   0.7182528327367E-01
    51   0.60180000E+03   0.1027051399359E+00   0.3017591105115E-01   0.7252922888479E-01
    52   0.61360000E+03   0.1028796053510E+00   0.2965379612239E-01   0.7322580922866E-01
    53   0.62540000E+03   0.1030653169950E+00   0.2915008411852E-01   0.7391523287651E-01
    54   0.63720000E+03   0.1032615050309E+00   0.2866380608897E-01   0.7459769894196E-01
    55   0.64900000E+03   0.1034674539648E+00   0.2819405591236E-01   0.7527339805248E-01
    56   0.66080000E+03   0.1036825053252E+00   0.2773999460877E-01   0.7594251071646E-01
    57   0.67260000E+03   0.1039060473176E+00   0.2730083502501E-01   0.7660521229259E-01
    58   0.68440000E+03   0.1041375155860E+00   0.2687584691249E-01   0.7726166867346E-01
    59   0.69620000E+03   0.1043763789650E+00   0.2646434215803E-01   0.7791203680700E-01
    60   0.70800000E+03   0.1046221527505E+00   0.2606568113522E-01   0.7855647161524E-01
